Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5262,4369,0.4411794405735636
STATEN ISLAND,Staten Island,75to84,75 to 84,15687,12990,0.5712652271427944
STATEN ISLAND,Staten Island,65to74,65 to 74,33302,27137,0.5816026918708074
STATEN ISLAND,Staten Island,55to64,55 to 64,37184,24083,0.3641766218055346
STATEN ISLAND,Staten Island,45to54,45 to 54,27290,16565,0.2581343888300193
STATEN ISLAND,Staten Island,35to44,35 to 44,20547,12422,0.2099232771149491
STATEN ISLAND,Staten Island,25to34,25 to 34,16857,9861,0.1523663839058082
STATEN ISLAND,Staten Island,18to24,18 to 24,7600,3669,0.0924832283842441
STATEN ISLAND,Staten Island,<18,<18,774,103,0.0010002433407026
STATEN ISLAND,Staten Island,%all%,%all%,164503,111199,0.2335411840560502
QUEENS,Queens,85andUp,85+,23793,18835,0.3648412314638529
QUEENS,Queens,75to84,75 to 84,63503,50328,0.458586754592389
QUEENS,Queens,65to74,65 to 74,134667,104115,0.498813084479077
QUEENS,Queens,55to64,55 to 64,160876,97806,0.3240932518028195
QUEENS,Queens,45to54,45 to 54,130467,75825,0.2515377808708699
QUEENS,Queens,35to44,35 to 44,116492,66762,0.2163318328489544
QUEENS,Queens,25to34,25 to 34,106566,60831,0.167810518302103
QUEENS,Queens,18to24,18 to 24,33008,17544,0.1004086098087047
QUEENS,Queens,<18,<18,2371,514,0.0011443303417411
QUEENS,Queens,%all%,%all%,771743,492560,0.2171465126293303
MANHATTAN,Manhattan,85andUp,85+,22830,19750,0.4959118864846382
MANHATTAN,Manhattan,75to84,75 to 84,60303,53099,0.6200396117802852
MANHATTAN,Manhattan,65to74,65 to 74,107539,92784,0.6277378753424376
MANHATTAN,Manhattan,55to64,55 to 64,113431,73477,0.4040662534888408
MANHATTAN,Manhattan,45to54,45 to 54,100386,57935,0.2999214819787811
MANHATTAN,Manhattan,35to44,35 to 44,106904,59699,0.257382358232982
MANHATTAN,Manhattan,25to34,25 to 34,148027,79263,0.2204582768213003
MANHATTAN,Manhattan,18to24,18 to 24,44599,21080,0.1464017419482541
MANHATTAN,Manhattan,<18,<18,3058,762,0.003346995555057
MANHATTAN,Manhattan,%all%,%all%,707077,457849,0.284127633271198
BROOKLYN,Brooklyn,85andUp,85+,19371,14998,0.2941938014907807
BROOKLYN,Brooklyn,75to84,75 to 84,54712,42323,0.3967992049577634
BROOKLYN,Brooklyn,65to74,65 to 74,118731,90693,0.4313722692313181
BROOKLYN,Brooklyn,55to64,55 to 64,128489,76805,0.2687980121441195
BROOKLYN,Brooklyn,45to54,45 to 54,112175,63136,0.2137551376935734
BROOKLYN,Brooklyn,35to44,35 to 44,123819,67705,0.1891275077796338
BROOKLYN,Brooklyn,25to34,25 to 34,139063,73813,0.1570352373516353
BROOKLYN,Brooklyn,18to24,18 to 24,31748,16059,0.0772707079933084
BROOKLYN,Brooklyn,<18,<18,2004,492,0.0008555581129106
BROOKLYN,Brooklyn,%all%,%all%,730112,446024,0.1742347268626975
THE BRONX,Bronx,85andUp,85+,11178,8955,0.3366012295971876
THE BRONX,Bronx,75to84,75 to 84,33145,26111,0.451040088225908
THE BRONX,Bronx,65to74,65 to 74,69189,53073,0.5037271804160398
THE BRONX,Bronx,55to64,55 to 64,89383,56801,0.3475513540867533
THE BRONX,Bronx,45to54,45 to 54,69184,42550,0.2446301997268473
THE BRONX,Bronx,35to44,35 to 44,51934,31729,0.177069005705525
THE BRONX,Bronx,25to34,25 to 34,40271,24634,0.1085660026917068
THE BRONX,Bronx,18to24,18 to 24,16101,8077,0.0583355597339394
THE BRONX,Bronx,<18,<18,965,223,0.0006385181315203
THE BRONX,Bronx,%all%,%all%,381350,252153,0.1774450007457019
%all%,%all%,85andUp,85+,82434,66907,0.3739116341973198
%all%,%all%,75to84,75 to 84,227350,184851,0.4830501112432478
%all%,%all%,65to74,65 to 74,463428,367802,0.5116924853400484
%all%,%all%,55to64,55 to 64,529363,328972,0.3293262177575545
%all%,%all%,45to54,45 to 54,439502,256011,0.2490168633588403
%all%,%all%,35to44,35 to 44,419696,238317,0.2096189130851627
%all%,%all%,25to34,25 to 34,450784,248402,0.1674207504352298
%all%,%all%,18to24,18 to 24,133056,66429,0.0942695478348519
%all%,%all%,<18,<18,9172,2094,0.0012287851364949
%all%,%all%,%all%,%all%,2754785,1759785,0.2110859576262739
