Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,75008,49741,0.215021830285739
STATEN ISLAND,Staten Island,F,Female,88814,60939,0.2489206047064494
QUEENS,Queens,M,Male,349508,219549,0.1988372840247731
QUEENS,Queens,F,Female,411106,264888,0.2275345439374412
MANHATTAN,Manhattan,M,Male,318979,200978,0.263194648785683
MANHATTAN,Manhattan,F,Female,380941,252250,0.2975311380462185
BROOKLYN,Brooklyn,M,Male,320751,190679,0.1573007290912181
BROOKLYN,Brooklyn,F,Female,399168,248072,0.1840694096425861
THE BRONX,Bronx,M,Male,166932,109254,0.1637638220838478
THE BRONX,Bronx,F,Female,212934,142066,0.1884472106701928
%all%,%all%,M,Male,1231178,770201,0.1935936431104711
%all%,%all%,F,Female,1492963,968215,0.2221504362095333
