Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,289599,0.1040565299111456,0.1040565299111456
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4420,0.0015881610855261,0.0015881610855261
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,8296,0.0029808561912951,0.0029808561912951
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,371480,0.1334773936767474,0.1334773936767474
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,556809,0.200068413092915,0.200068413092915
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,579316,0.2081554586929003,0.2081554586929003
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,973173,0.3496731873494706,0.3496731873494706
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,59145,0.1086341612146014,0.1086341612146014
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,773,0.0014198022929899,0.0014198022929899
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1341,0.0024630722831817,0.0024630722831817
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,41947,0.077045856124252,0.077045856124252
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,61200,0.1124086679572847,0.1124086679572847
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,70188,0.1289173135063055,0.1289173135063055
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,309848,0.569111126621385,0.569111126621385
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,210249,0.1026823542282133,0.1026823542282133
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3467,0.0016932290860323,0.0016932290860323
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6088,0.0029732848790784,0.0029732848790784
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,251780,0.122965451191585,0.122965451191585
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,423834,0.206993959172032,0.206993959172032
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,455210,0.2223175114660473,0.2223175114660473
18 to 64 years,18 to 64 years,White,White,NYC,NYC,696939,0.3403742099770118,0.3403742099770118
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,42077,0.1054350005011527,0.1054350005011527
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,634,0.0015886539039792,0.0015886539039792
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,989,0.0024781998596773,0.0024781998596773
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,33223,0.0832489726370653,0.0832489726370653
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,51280,0.1284955397414052,0.1284955397414052
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,57075,0.143016437806956,0.143016437806956
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,213802,0.5357371955497646,0.5357371955497646
65+ years,65+ years,Other,Other,NYC,NYC,77650,0.1073280229113884,0.1073280229113884
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,928,0.0012826839054961,0.0012826839054961
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2097,0.0028984786097255,0.0028984786097255
65+ years,65+ years,Black,Black,NYC,NYC,118513,0.1638089630302302,0.1638089630302302
65+ years,65+ years,Latino,Latino,NYC,NYC,130694,0.1806455714923502,0.1806455714923502
65+ years,65+ years,Asian,Asian,NYC,NYC,120880,0.1670806363107357,0.1670806363107357
65+ years,65+ years,White,White,NYC,NYC,272721,0.3769556437400741,0.3769556437400741
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16828,0.1177639682006494,0.1177639682006494
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,133,0.0009307468368604,0.0009307468368604
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,343,0.0024003471055873,0.0024003471055873
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8612,0.0602676072108387,0.0602676072108387
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9577,0.0670207703504647,0.0670207703504647
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12735,0.0891207591535102,0.0891207591535102
65+ years,65+ years,White,White,Non- NYC,Non- NYC,94668,0.6624958011420894,0.6624958011420894
