Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-18,4/18,26502,26502
2021-04-17,4/17,57686,57686
2021-04-16,4/16,74407,74407
2021-04-15,4/15,78063,78063
2021-04-14,4/14,72576,72576
2021-04-13,4/13,65423,65423
2021-04-12,4/12,65593,65593
2021-04-11,4/11,50500,50500
2021-04-10,4/10,92407,92407
2021-04-09,4/9,111862,111862
2021-04-08,4/8,113763,113763
2021-04-07,4/7,101794,101794
2021-04-06,4/6,95345,95345
2021-04-05,4/5,83142,83142
2021-04-04,4/4,51658,51658
2021-04-03,4/3,84783,84783
2021-04-02,4/2,106127,106127
2021-04-01,4/1,111843,111843
2021-03-31,3/31,98473,98473
2021-03-30,3/30,83282,83282
2021-03-29,3/29,74370,74370
2021-03-28,3/28,60287,60287
2021-03-27,3/27,81558,81558
2021-03-26,3/26,94975,94975
2021-03-25,3/25,95980,95980
2021-03-24,3/24,81562,81562
2021-03-23,3/23,73284,73284
2021-03-22,3/22,62724,62724
2021-03-21,3/21,48101,48101
2021-03-20,3/20,66916,66916
2021-03-19,3/19,80860,80860
2021-03-18,3/18,80525,80525
2021-03-17,3/17,69813,69813
2021-03-16,3/16,61955,61955
2021-03-15,3/15,53846,53846
2021-03-14,3/14,49791,49791
2021-03-13,3/13,70995,70995
2021-03-12,3/12,84098,84098
2021-03-11,3/11,83831,83831
2021-03-10,3/10,70156,70156
2021-03-09,3/9,58075,58075
2021-03-08,3/8,61687,61687
2021-03-07,3/7,56304,56304
2021-03-06,3/6,70179,70179
2021-03-05,3/5,86121,86121
2021-03-04,3/4,81916,81916
2021-03-03,3/3,63252,63252
2021-03-02,3/2,58198,58198
2021-03-01,3/1,50622,50622
2021-02-28,2/28,57859,57859
2021-02-27,2/27,73083,73083
2021-02-26,2/26,93095,93095
2021-02-25,2/25,83514,83514
2021-02-24,2/24,55587,55587
2021-02-23,2/23,38566,38566
2021-02-22,2/22,24160,24160
2021-02-21,2/21,23616,23616
2021-02-20,2/20,36938,36938
2021-02-19,2/19,36350,36350
2021-02-18,2/18,36000,36000
2021-02-17,2/17,37362,37362
2021-02-16,2/16,39948,39948
2021-02-15,2/15,22507,22507
2021-02-14,2/14,39456,39456
2021-02-13,2/13,52176,52176
2021-02-12,2/12,67791,67791
2021-02-11,2/11,60354,60354
2021-02-10,2/10,47854,47854
2021-02-09,2/9,44600,44600
2021-02-08,2/8,39624,39624
2021-02-07,2/7,20013,20013
2021-02-06,2/6,33660,33660
2021-02-05,2/5,46561,46561
2021-02-04,2/4,45727,45727
2021-02-03,2/3,36575,36575
2021-02-02,2/2,11951,11951
2021-02-01,2/1,6324,6324
2021-01-31,1/31,15609,15609
2021-01-30,1/30,21932,21932
2021-01-29,1/29,42581,42581
2021-01-28,1/28,41824,41824
2021-01-27,1/27,32459,32459
2021-01-26,1/26,26861,26861
2021-01-25,1/25,24022,24022
2021-01-24,1/24,10340,10340
2021-01-23,1/23,18489,18489
2021-01-22,1/22,28490,28490
2021-01-21,1/21,33062,33062
2021-01-20,1/20,43837,43837
2021-01-19,1/19,43208,43208
2021-01-18,1/18,29073,29073
2021-01-17,1/17,25246,25246
2021-01-16,1/16,32285,32285
2021-01-15,1/15,32358,32358
2021-01-14,1/14,40711,40711
2021-01-13,1/13,40798,40798
2021-01-12,1/12,35621,35621
2021-01-11,1/11,32906,32906
2021-01-10,1/10,8776,8776
2021-01-09,1/9,9084,9084
2021-01-08,1/8,21790,21790
2021-01-07,1/7,21430,21430
2021-01-06,1/6,21502,21502
2021-01-05,1/5,16020,16020
2021-01-04,1/4,12963,12963
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12795,12795
2020-12-29,12/29,10671,10671
2020-12-28,12/28,10944,10944
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7235,7235
2020-12-23,12/23,14225,14225
2020-12-22,12/22,9716,9716
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5778,5778
2020-12-17,12/17,4489,4489
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
