Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-04,4/4,25542,25542
2021-04-03,4/3,58140,58140
2021-04-02,4/2,84621,84621
2021-04-01,4/1,92186,92186
2021-03-31,3/31,77856,77856
2021-03-30,3/30,69740,69740
2021-03-29,3/29,58459,58459
2021-03-28,3/28,46970,46970
2021-03-27,3/27,77905,77905
2021-03-26,3/26,91376,91376
2021-03-25,3/25,93714,93714
2021-03-24,3/24,79937,79937
2021-03-23,3/23,70478,70478
2021-03-22,3/22,60820,60820
2021-03-21,3/21,47838,47838
2021-03-20,3/20,65560,65560
2021-03-19,3/19,79067,79067
2021-03-18,3/18,80587,80587
2021-03-17,3/17,69708,69708
2021-03-16,3/16,61746,61746
2021-03-15,3/15,53657,53657
2021-03-14,3/14,49080,49080
2021-03-13,3/13,69284,69284
2021-03-12,3/12,82623,82623
2021-03-11,3/11,82799,82799
2021-03-10,3/10,69877,69877
2021-03-09,3/9,57867,57867
2021-03-08,3/8,61557,61557
2021-03-07,3/7,55954,55954
2021-03-06,3/6,69632,69632
2021-03-05,3/5,85325,85325
2021-03-04,3/4,81362,81362
2021-03-03,3/3,63215,63215
2021-03-02,3/2,58175,58175
2021-03-01,3/1,50536,50536
2021-02-28,2/28,57341,57341
2021-02-27,2/27,72474,72474
2021-02-26,2/26,92101,92101
2021-02-25,2/25,82830,82830
2021-02-24,2/24,54547,54547
2021-02-23,2/23,38456,38456
2021-02-22,2/22,23961,23961
2021-02-21,2/21,23320,23320
2021-02-20,2/20,35965,35965
2021-02-19,2/19,35998,35998
2021-02-18,2/18,35661,35661
2021-02-17,2/17,37319,37319
2021-02-16,2/16,39895,39895
2021-02-15,2/15,22503,22503
2021-02-14,2/14,39180,39180
2021-02-13,2/13,51811,51811
2021-02-12,2/12,66927,66927
2021-02-11,2/11,59866,59866
2021-02-10,2/10,47422,47422
2021-02-09,2/9,44455,44455
2021-02-08,2/8,39531,39531
2021-02-07,2/7,19938,19938
2021-02-06,2/6,33390,33390
2021-02-05,2/5,46282,46282
2021-02-04,2/4,45434,45434
2021-02-03,2/3,36312,36312
2021-02-02,2/2,11816,11816
2021-02-01,2/1,6298,6298
2021-01-31,1/31,15582,15582
2021-01-30,1/30,21913,21913
2021-01-29,1/29,42556,42556
2021-01-28,1/28,41821,41821
2021-01-27,1/27,32443,32443
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24019,24019
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18486,18486
2021-01-22,1/22,28471,28471
2021-01-21,1/21,33058,33058
2021-01-20,1/20,44236,44236
2021-01-19,1/19,43199,43199
2021-01-18,1/18,29061,29061
2021-01-17,1/17,25234,25234
2021-01-16,1/16,32289,32289
2021-01-15,1/15,32294,32294
2021-01-14,1/14,40716,40716
2021-01-13,1/13,40739,40739
2021-01-12,1/12,35619,35619
2021-01-11,1/11,32892,32892
2021-01-10,1/10,8768,8768
2021-01-09,1/9,9085,9085
2021-01-08,1/8,21788,21788
2021-01-07,1/7,21410,21410
2021-01-06,1/6,21401,21401
2021-01-05,1/5,15963,15963
2021-01-04,1/4,12951,12951
2021-01-03,1/3,3538,3538
2021-01-02,1/2,3801,3801
2021-01-01,1/1,162,162
2020-12-31,12/31,7227,7227
2020-12-30,12/30,12798,12798
2020-12-29,12/29,10674,10674
2020-12-28,12/28,10946,10946
2020-12-27,12/27,3832,3832
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7234,7234
2020-12-23,12/23,14219,14219
2020-12-22,12/22,9714,9714
2020-12-21,12/21,6269,6269
2020-12-20,12/20,1099,1099
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5773,5773
2020-12-17,12/17,4487,4487
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,76,76
