Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,82040,56735,0.3179494325123217
STATEN ISLAND,Staten Island,F,Female,96125,68764,0.3531289501682438
QUEENS,Queens,M,Male,403447,261720,0.2994381563545761
QUEENS,Queens,F,Female,468681,313042,0.3312184990259066
MANHATTAN,Manhattan,M,Male,361116,233634,0.3601552204092958
MANHATTAN,Manhattan,F,Female,425653,288331,0.3922605662861604
BROOKLYN,Brooklyn,M,Male,370414,227109,0.2473744930876487
BROOKLYN,Brooklyn,F,Female,452974,292337,0.2740414176314342
THE BRONX,Bronx,M,Male,186942,130340,0.2664637550058908
THE BRONX,Bronx,F,Female,235647,168210,0.2887094674618042
%all%,%all%,M,Male,1403959,909538,0.2926059450080699
%all%,%all%,F,Female,1679080,1130684,0.3208261223630268
