Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-23,4/23,39724,39724
2021-04-22,4/22,57563,57563
2021-04-21,4/21,53303,53303
2021-04-20,4/20,49155,49155
2021-04-19,4/19,43747,43747
2021-04-18,4/18,35312,35312
2021-04-17,4/17,65350,65350
2021-04-16,4/16,83917,83917
2021-04-15,4/15,86201,86201
2021-04-14,4/14,80218,80218
2021-04-13,4/13,75188,75188
2021-04-12,4/12,77554,77554
2021-04-11,4/11,62642,62642
2021-04-10,4/10,93019,93019
2021-04-09,4/9,112689,112689
2021-04-08,4/8,115075,115075
2021-04-07,4/7,103236,103236
2021-04-06,4/6,96599,96599
2021-04-05,4/5,83492,83492
2021-04-04,4/4,51796,51796
2021-04-03,4/3,84975,84975
2021-04-02,4/2,106460,106460
2021-04-01,4/1,112842,112842
2021-03-31,3/31,99299,99299
2021-03-30,3/30,83963,83963
2021-03-29,3/29,74371,74371
2021-03-28,3/28,60276,60276
2021-03-27,3/27,81563,81563
2021-03-26,3/26,95093,95093
2021-03-25,3/25,96012,96012
2021-03-24,3/24,81589,81589
2021-03-23,3/23,73332,73332
2021-03-22,3/22,62782,62782
2021-03-21,3/21,48104,48104
2021-03-20,3/20,66933,66933
2021-03-19,3/19,80904,80904
2021-03-18,3/18,80590,80590
2021-03-17,3/17,69775,69775
2021-03-16,3/16,61959,61959
2021-03-15,3/15,53847,53847
2021-03-14,3/14,49801,49801
2021-03-13,3/13,71019,71019
2021-03-12,3/12,84093,84093
2021-03-11,3/11,83826,83826
2021-03-10,3/10,70157,70157
2021-03-09,3/9,58075,58075
2021-03-08,3/8,61680,61680
2021-03-07,3/7,56295,56295
2021-03-06,3/6,70170,70170
2021-03-05,3/5,86110,86110
2021-03-04,3/4,81909,81909
2021-03-03,3/3,63270,63270
2021-03-02,3/2,58192,58192
2021-03-01,3/1,50632,50632
2021-02-28,2/28,57860,57860
2021-02-27,2/27,73116,73116
2021-02-26,2/26,93083,93083
2021-02-25,2/25,83517,83517
2021-02-24,2/24,55577,55577
2021-02-23,2/23,38571,38571
2021-02-22,2/22,24164,24164
2021-02-21,2/21,23592,23592
2021-02-20,2/20,36936,36936
2021-02-19,2/19,36349,36349
2021-02-18,2/18,35982,35982
2021-02-17,2/17,37409,37409
2021-02-16,2/16,39960,39960
2021-02-15,2/15,22518,22518
2021-02-14,2/14,39432,39432
2021-02-13,2/13,52163,52163
2021-02-12,2/12,67810,67810
2021-02-11,2/11,60360,60360
2021-02-10,2/10,47845,47845
2021-02-09,2/9,44600,44600
2021-02-08,2/8,39615,39615
2021-02-07,2/7,20010,20010
2021-02-06,2/6,33658,33658
2021-02-05,2/5,46566,46566
2021-02-04,2/4,45811,45811
2021-02-03,2/3,36575,36575
2021-02-02,2/2,11949,11949
2021-02-01,2/1,6324,6324
2021-01-31,1/31,15610,15610
2021-01-30,1/30,21935,21935
2021-01-29,1/29,42580,42580
2021-01-28,1/28,41824,41824
2021-01-27,1/27,32462,32462
2021-01-26,1/26,26857,26857
2021-01-25,1/25,24013,24013
2021-01-24,1/24,10340,10340
2021-01-23,1/23,18492,18492
2021-01-22,1/22,28494,28494
2021-01-21,1/21,33057,33057
2021-01-20,1/20,43843,43843
2021-01-19,1/19,43212,43212
2021-01-18,1/18,29078,29078
2021-01-17,1/17,25284,25284
2021-01-16,1/16,32290,32290
2021-01-15,1/15,32356,32356
2021-01-14,1/14,40712,40712
2021-01-13,1/13,40797,40797
2021-01-12,1/12,35621,35621
2021-01-11,1/11,32904,32904
2021-01-10,1/10,8777,8777
2021-01-09,1/9,9088,9088
2021-01-08,1/8,21798,21798
2021-01-07,1/7,21433,21433
2021-01-06,1/6,21502,21502
2021-01-05,1/5,16020,16020
2021-01-04,1/4,12963,12963
2021-01-03,1/3,3542,3542
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7233,7233
2020-12-30,12/30,12795,12795
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10945,10945
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7236,7236
2020-12-23,12/23,14227,14227
2020-12-22,12/22,9717,9717
2020-12-21,12/21,6272,6272
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5786,5786
2020-12-17,12/17,4493,4493
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
