Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4043260572044464
Latino,Latino,STATEN ISLAND,Staten Island,0.3204677137141566
Black,Black,STATEN ISLAND,Staten Island,0.2777752469093737
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6441088268234642
White,White,QUEENS,Queens,0.4063768775384431
Latino,Latino,QUEENS,Queens,0.3598987446822841
Black,Black,QUEENS,Queens,0.2561927846994497
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6083760166810128
White,White,MANHATTAN,Manhattan,0.5602211566119084
Latino,Latino,MANHATTAN,Manhattan,0.3830050742329138
Black,Black,MANHATTAN,Manhattan,0.3401123143947855
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6257993929615768
White,White,BROOKLYN,Brooklyn,0.4120465912147031
Latino,Latino,BROOKLYN,Brooklyn,0.3168102385630604
Black,Black,BROOKLYN,Brooklyn,0.2609891831612998
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6213253321460724
White,White,THE BRONX,Bronx,0.4072974303986261
Latino,Latino,THE BRONX,Bronx,0.2823295792081788
Black,Black,THE BRONX,Bronx,0.2656462160632912
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4869955737538056
White,White,%all%,%all%,0.4551459691338706
Latino,Latino,%all%,%all%,0.3291415388655135
Black,Black,%all%,%all%,0.2703997611227776
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6106970704684506
