Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,78888,53179,0.4420973796075092
STATEN ISLAND,Staten Island,F,Female,92906,64682,0.4771071817278062
QUEENS,Queens,M,Male,380270,243441,0.4350731610765499
QUEENS,Queens,F,Female,444386,291813,0.4701888689317298
MANHATTAN,Manhattan,M,Male,345509,220995,0.5326145597318688
MANHATTAN,Manhattan,F,Female,409167,274129,0.5566521779677156
BROOKLYN,Brooklyn,M,Male,349926,212664,0.3811507552240932
BROOKLYN,Brooklyn,F,Female,431103,274641,0.4041229035844392
THE BRONX,Bronx,M,Male,178925,120538,0.3657896836307274
THE BRONX,Bronx,F,Female,226661,156196,0.3890326175873016
%all%,%all%,M,Male,1333518,850817,0.4290038399443139
%all%,%all%,F,Female,1604223,1061461,0.4551905258193996
