Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3670860196481383
Latino,Latino,STATEN ISLAND,Staten Island,0.2877659694487692
Black,Black,STATEN ISLAND,Staten Island,0.2575367605917504
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.60482247884792
White,White,QUEENS,Queens,0.4006373260474384
Latino,Latino,QUEENS,Queens,0.3786734017068634
Black,Black,QUEENS,Queens,0.2609566628214312
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6215119714432706
White,White,MANHATTAN,Manhattan,0.5597991738531314
Latino,Latino,MANHATTAN,Manhattan,0.3893078904173394
Black,Black,MANHATTAN,Manhattan,0.3416257004851666
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6618838800687786
White,White,BROOKLYN,Brooklyn,0.3643755019824322
Latino,Latino,BROOKLYN,Brooklyn,0.3137245983389811
Black,Black,BROOKLYN,Brooklyn,0.2585436206493073
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6196864792210433
White,White,THE BRONX,Bronx,0.3999567640088959
Latino,Latino,THE BRONX,Bronx,0.2745085907025633
Black,Black,THE BRONX,Bronx,0.255472016469496
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4830342022355378
White,White,%all%,%all%,0.429706678956113
Latino,Latino,%all%,%all%,0.3295730713528278
Black,Black,%all%,%all%,0.2674625708164097
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.620482279299829
