Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3290446295441167
Latino,Latino,STATEN ISLAND,Staten Island,0.2234594643380943
Black,Black,STATEN ISLAND,Staten Island,0.2065755018911842
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5149188111847118
White,White,QUEENS,Queens,0.3423909615099691
Latino,Latino,QUEENS,Queens,0.2691444083838585
Black,Black,QUEENS,Queens,0.2062668896864279
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4991293052517386
White,White,MANHATTAN,Manhattan,0.4991584701529758
Latino,Latino,MANHATTAN,Manhattan,0.3071066394048248
Black,Black,MANHATTAN,Manhattan,0.2820859501934086
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5569083888348486
White,White,BROOKLYN,Brooklyn,0.3174823748390469
Latino,Latino,BROOKLYN,Brooklyn,0.2344654202477263
Black,Black,BROOKLYN,Brooklyn,0.2058791048425902
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4899957801290968
White,White,THE BRONX,Bronx,0.342997557741439
Latino,Latino,THE BRONX,Bronx,0.2047070714034245
Black,Black,THE BRONX,Bronx,0.2031319412390047
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3856436805254672
White,White,%all%,%all%,0.376960867658771
Latino,Latino,%all%,%all%,0.2455353421989693
Black,Black,%all%,%all%,0.2137067269564608
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5015879809539556
