Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,314367,0.1081704069203295,0.1081704069203295
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4524,0.0015566612300514,0.0015566612300514
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,8568,0.0029481594648719,0.0029481594648719
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,384747,0.1323874310960629,0.1323874310960629
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,585891,0.2015989842475793,0.2015989842475793
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,606090,0.2085492495406404,0.2085492495406404
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1002033,0.3447891075004646,0.3447891075004646
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,60960,0.1096134758404419,0.1096134758404419
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,782,0.0014061308744624,0.0014061308744624
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1353,0.0024328581498051,0.0024328581498051
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,42810,0.0769775738308615,0.0769775738308615
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,63615,0.1143874879525871,0.1143874879525871
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,71796,0.1290979184947567,0.1290979184947567
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,314820,0.5660845548570854,0.5660845548570854
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,230641,0.1070381551498894,0.1070381551498894
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3553,0.0016489113611524,0.0016489113611524
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6314,0.0029302635334412,0.0029302635334412
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,262793,0.1219595731301239,0.1219595731301239
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,449416,0.2085694197252124,0.2085694197252124
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,479531,0.2225454866098466,0.2225454866098466
18 to 64 years,18 to 64 years,White,White,NYC,NYC,722507,0.3353081904903342,0.3353081904903342
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,43706,0.1067494492289205,0.1067494492289205
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,640,0.0015631640394113,0.0015631640394113
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1000,0.0024424438115801,0.0024424438115801
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,33972,0.0829747011669997,0.0829747011669997
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,53467,0.130590143273754,0.130590143273754
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,58554,0.143014854943262,0.143014854943262
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,218087,0.5326652435360726,0.5326652435360726
65+ years,65+ years,Other,Other,NYC,NYC,81700,0.110929472209248,0.110929472209248
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,942,0.0012790154568068,0.0012790154568068
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2120,0.002878463660754,0.002878463660754
65+ years,65+ years,Black,Black,NYC,NYC,120420,0.1635021669943408,0.1635021669943408
65+ years,65+ years,Latino,Latino,NYC,NYC,133577,0.1813662926474262,0.1813662926474262
65+ years,65+ years,Asian,Asian,NYC,NYC,122404,0.1661959744957258,0.1661959744957258
65+ years,65+ years,White,White,NYC,NYC,275341,0.3738486145356984,0.3738486145356984
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16984,0.1180813860518796,0.1180813860518796
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,135,0.0009385885019432,0.0009385885019432
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,343,0.002384710045678,0.002384710045678
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8703,0.06050767209194,0.06050767209194
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9721,0.0675853246473341,0.0675853246473341
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12790,0.0889225699248434,0.0889225699248434
65+ years,65+ years,White,White,Non- NYC,Non- NYC,95157,0.6615797487363818,0.6615797487363818
