Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.2412683346879435
STATEN ISLAND,Staten Island,F,Female,0.2731968329358444
QUEENS,Queens,M,Male,0.2156041678602875
QUEENS,Queens,F,Female,0.2425865862908674
MANHATTAN,Manhattan,M,Male,0.2729751938077425
MANHATTAN,Manhattan,F,Female,0.3060595889336603
BROOKLYN,Brooklyn,M,Male,0.178476183528071
BROOKLYN,Brooklyn,F,Female,0.202021611606922
THE BRONX,Bronx,M,Male,0.1949740277632869
THE BRONX,Bronx,F,Female,0.2144681737512023
%all%,%all%,M,Male,0.2148381051700634
%all%,%all%,F,Female,0.2405892310392158
