Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2335262673863249
Latino,Latino,STATEN ISLAND,Staten Island,0.1244044210769027
Black,Black,STATEN ISLAND,Staten Island,0.1209349467251743
Asian,Asian,STATEN ISLAND,Staten Island,0.2521789378469675
White,White,QUEENS,Queens,0.2096125815872742
Latino,Latino,QUEENS,Queens,0.1300087108678641
Black,Black,QUEENS,Queens,0.1227782701137444
Asian,Asian,QUEENS,Queens,0.2512977863564547
White,White,MANHATTAN,Manhattan,0.2961370445399854
Latino,Latino,MANHATTAN,Manhattan,0.1702861544375137
Black,Black,MANHATTAN,Manhattan,0.1598788894639714
Asian,Asian,MANHATTAN,Manhattan,0.2230679573736315
White,White,BROOKLYN,Brooklyn,0.1927072585852702
Latino,Latino,BROOKLYN,Brooklyn,0.1179226577924933
Black,Black,BROOKLYN,Brooklyn,0.1171876262706121
Asian,Asian,BROOKLYN,Brooklyn,0.2145369922908983
White,White,THE BRONX,Bronx,0.2349689282558232
Latino,Latino,THE BRONX,Bronx,0.1200656586283106
Black,Black,THE BRONX,Bronx,0.1300826341041205
Asian,Asian,THE BRONX,Bronx,0.2297384607719394
White,White,%all%,%all%,0.2342665454074533
Latino,Latino,%all%,%all%,0.131491921694983
Black,Black,%all%,%all%,0.1262687846429861
Asian,Asian,%all%,%all%,0.2360967911050551
