Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3093612416326214
Latino,Latino,STATEN ISLAND,Staten Island,0.1950066562873711
Black,Black,STATEN ISLAND,Staten Island,0.1840379579687115
Asian,Asian,STATEN ISLAND,Staten Island,0.4493483586477217
White,White,QUEENS,Queens,0.3073021069957621
Latino,Latino,QUEENS,Queens,0.2208862898730374
Black,Black,QUEENS,Queens,0.1784988288299757
Asian,Asian,QUEENS,Queens,0.4235366929630178
White,White,MANHATTAN,Manhattan,0.4566872216052154
Latino,Latino,MANHATTAN,Manhattan,0.2673900508298934
Black,Black,MANHATTAN,Manhattan,0.2537017674379527
Asian,Asian,MANHATTAN,Manhattan,0.4777574424732354
White,White,BROOKLYN,Brooklyn,0.283568547958711
Latino,Latino,BROOKLYN,Brooklyn,0.1954788196303747
Black,Black,BROOKLYN,Brooklyn,0.1799228530184348
Asian,Asian,BROOKLYN,Brooklyn,0.4063756632827364
White,White,THE BRONX,Bronx,0.3126115010646023
Latino,Latino,THE BRONX,Bronx,0.177177962293739
Black,Black,THE BRONX,Bronx,0.1826572711233238
Asian,Asian,THE BRONX,Bronx,0.3371441334944386
White,White,%all%,%all%,0.3420336349020275
Latino,Latino,%all%,%all%,0.2081754752247699
Black,Black,%all%,%all%,0.188399034311728
Asian,Asian,%all%,%all%,0.4250519698062345
