Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4245296221897582
Latino,Latino,STATEN ISLAND,Staten Island,0.3601872941895159
Black,Black,STATEN ISLAND,Staten Island,0.3061184446647567
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.695521384997387
White,White,QUEENS,Queens,0.4459878777174453
Latino,Latino,QUEENS,Queens,0.4314092455367136
Black,Black,QUEENS,Queens,0.2928310914040022
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.690677927565868
White,White,MANHATTAN,Manhattan,0.5994078881151454
Latino,Latino,MANHATTAN,Manhattan,0.4265358924222787
Black,Black,MANHATTAN,Manhattan,0.3764750933434922
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6907781664695312
White,White,BROOKLYN,Brooklyn,0.4447420648314881
Latino,Latino,BROOKLYN,Brooklyn,0.3644487116871367
Black,Black,BROOKLYN,Brooklyn,0.293153471173929
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7035971601420518
White,White,THE BRONX,Bronx,0.4465254748613982
Latino,Latino,THE BRONX,Bronx,0.322142655576523
Black,Black,THE BRONX,Bronx,0.2986296646340443
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5489110285600016
White,White,%all%,%all%,0.490324439818045
Latino,Latino,%all%,%all%,0.3795431205252166
Black,Black,%all%,%all%,0.3041549054281523
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6877438103921948
