Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3884145083754501
Latino,Latino,STATEN ISLAND,Staten Island,0.3112597011160726
Black,Black,STATEN ISLAND,Staten Island,0.2633059253661844
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6151694371726468
White,White,QUEENS,Queens,0.4026537709199441
Latino,Latino,QUEENS,Queens,0.3641344353342116
Black,Black,QUEENS,Queens,0.2563955239255155
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5964419562775508
White,White,MANHATTAN,Manhattan,0.548482160832776
Latino,Latino,MANHATTAN,Manhattan,0.3823377493077057
Black,Black,MANHATTAN,Manhattan,0.3293004640850449
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6040294344487206
White,White,BROOKLYN,Brooklyn,0.4003639569940641
Latino,Latino,BROOKLYN,Brooklyn,0.3095891848574646
Black,Black,BROOKLYN,Brooklyn,0.2538064649980517
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5920079682394352
White,White,THE BRONX,Bronx,0.4013816481252393
Latino,Latino,THE BRONX,Bronx,0.2780837791059604
Black,Black,THE BRONX,Bronx,0.2603103335714933
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4724323611444608
White,White,%all%,%all%,0.4449884097182778
Latino,Latino,%all%,%all%,0.3270231066380727
Black,Black,%all%,%all%,0.264714365393441
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5918446649709498
