Measure Names-value,Measure Names-alias,Measure Values-alias
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_1027665143050387463:qk],On Hand (Dose 2 of 2),"295,877"
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_796574201892212736:qk],On Hand (Dose 1 of 2 and Single Dose) ,"194,114"
