Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3160057950375585
Latino,Latino,STATEN ISLAND,Staten Island,0.2167129222229743
Black,Black,STATEN ISLAND,Staten Island,0.1953179203688369
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4892822947808586
White,White,QUEENS,Queens,0.3373501722202842
Latino,Latino,QUEENS,Queens,0.2679913396819799
Black,Black,QUEENS,Queens,0.2035346025144179
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4823549498047596
White,White,MANHATTAN,Manhattan,0.4864347510730324
Latino,Latino,MANHATTAN,Manhattan,0.3057042140288842
Black,Black,MANHATTAN,Manhattan,0.2727913059284038
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.532266555594878
White,White,BROOKLYN,Brooklyn,0.3086411096520864
Latino,Latino,BROOKLYN,Brooklyn,0.227522799211874
Black,Black,BROOKLYN,Brooklyn,0.1995987515546405
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4658925026960286
White,White,THE BRONX,Bronx,0.337379770456624
Latino,Latino,THE BRONX,Bronx,0.2012094188473483
Black,Black,THE BRONX,Bronx,0.1987587343037176
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3720759828891475
White,White,%all%,%all%,0.3675223044501517
Latino,Latino,%all%,%all%,0.2422014449638759
Black,Black,%all%,%all%,0.2081991491077023
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4814022220384844
