Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-15,5/15,26529,26529
2021-05-14,5/14,46210,46210
2021-05-13,5/13,46984,46984
2021-05-12,5/12,43918,43918
2021-05-11,5/11,46371,46371
2021-05-10,5/10,39896,39896
2021-05-09,5/9,24345,24345
2021-05-08,5/8,53129,53129
2021-05-07,5/7,71547,71547
2021-05-06,5/6,68635,68635
2021-05-05,5/5,66875,66875
2021-05-04,5/4,76354,76354
2021-05-03,5/3,71344,71344
2021-05-02,5/2,49190,49190
2021-05-01,5/1,66107,66107
2021-04-30,4/30,68419,68419
2021-04-29,4/29,69632,69632
2021-04-28,4/28,67112,67112
2021-04-27,4/27,61380,61380
2021-04-26,4/26,52034,52034
2021-04-25,4/25,38362,38362
2021-04-24,4/24,61539,61539
2021-04-23,4/23,70187,70187
2021-04-22,4/22,73619,73619
2021-04-21,4/21,70526,70526
2021-04-20,4/20,66754,66754
2021-04-19,4/19,61439,61439
2021-04-18,4/18,39472,39472
2021-04-17,4/17,73838,73838
2021-04-16,4/16,89941,89941
2021-04-15,4/15,92314,92314
2021-04-14,4/14,86825,86825
2021-04-13,4/13,83315,83315
2021-04-12,4/12,86140,86140
2021-04-11,4/11,69708,69708
2021-04-10,4/10,93806,93806
2021-04-09,4/9,113557,113557
2021-04-08,4/8,115979,115979
2021-04-07,4/7,104673,104673
2021-04-06,4/6,97260,97260
2021-04-05,4/5,84207,84207
2021-04-04,4/4,52167,52167
2021-04-03,4/3,86303,86303
2021-04-02,4/2,107248,107248
2021-04-01,4/1,113748,113748
2021-03-31,3/31,99614,99614
2021-03-30,3/30,84258,84258
2021-03-29,3/29,74663,74663
2021-03-28,3/28,60394,60394
2021-03-27,3/27,81923,81923
2021-03-26,3/26,95480,95480
2021-03-25,3/25,96630,96630
2021-03-24,3/24,81893,81893
2021-03-23,3/23,73516,73516
2021-03-22,3/22,62904,62904
2021-03-21,3/21,48372,48372
2021-03-20,3/20,67542,67542
2021-03-19,3/19,81230,81230
2021-03-18,3/18,80855,80855
2021-03-17,3/17,69966,69966
2021-03-16,3/16,62297,62297
2021-03-15,3/15,54095,54095
2021-03-14,3/14,50574,50574
2021-03-13,3/13,71542,71542
2021-03-12,3/12,84675,84675
2021-03-11,3/11,84611,84611
2021-03-10,3/10,70538,70538
2021-03-09,3/9,58452,58452
2021-03-08,3/8,62154,62154
2021-03-07,3/7,56681,56681
2021-03-06,3/6,70592,70592
2021-03-05,3/5,86848,86848
2021-03-04,3/4,82338,82338
2021-03-03,3/3,63465,63465
2021-03-02,3/2,58435,58435
2021-03-01,3/1,50910,50910
2021-02-28,2/28,57923,57923
2021-02-27,2/27,73219,73219
2021-02-26,2/26,93328,93328
2021-02-25,2/25,83573,83573
2021-02-24,2/24,55628,55628
2021-02-23,2/23,38641,38641
2021-02-22,2/22,24237,24237
2021-02-21,2/21,23560,23560
2021-02-20,2/20,36843,36843
2021-02-19,2/19,36541,36541
2021-02-18,2/18,36104,36104
2021-02-17,2/17,37547,37547
2021-02-16,2/16,40057,40057
2021-02-15,2/15,22781,22781
2021-02-14,2/14,39618,39618
2021-02-13,2/13,52661,52661
2021-02-12,2/12,68125,68125
2021-02-11,2/11,60416,60416
2021-02-10,2/10,47961,47961
2021-02-09,2/9,44496,44496
2021-02-08,2/8,39686,39686
2021-02-07,2/7,20082,20082
2021-02-06,2/6,33733,33733
2021-02-05,2/5,46711,46711
2021-02-04,2/4,45745,45745
2021-02-03,2/3,36753,36753
2021-02-02,2/2,11991,11991
2021-02-01,2/1,6334,6334
2021-01-31,1/31,15607,15607
2021-01-30,1/30,21998,21998
2021-01-29,1/29,42581,42581
2021-01-28,1/28,41839,41839
2021-01-27,1/27,32448,32448
2021-01-26,1/26,26871,26871
2021-01-25,1/25,24328,24328
2021-01-24,1/24,10337,10337
2021-01-23,1/23,18495,18495
2021-01-22,1/22,28513,28513
2021-01-21,1/21,33065,33065
2021-01-20,1/20,43761,43761
2021-01-19,1/19,43303,43303
2021-01-18,1/18,29093,29093
2021-01-17,1/17,25281,25281
2021-01-16,1/16,32297,32297
2021-01-15,1/15,32378,32378
2021-01-14,1/14,40708,40708
2021-01-13,1/13,40673,40673
2021-01-12,1/12,35602,35602
2021-01-11,1/11,32920,32920
2021-01-10,1/10,8787,8787
2021-01-09,1/9,9086,9086
2021-01-08,1/8,21805,21805
2021-01-07,1/7,21509,21509
2021-01-06,1/6,21535,21535
2021-01-05,1/5,16039,16039
2021-01-04,1/4,12971,12971
2021-01-03,1/3,3544,3544
2021-01-02,1/2,3812,3812
2021-01-01,1/1,166,166
2020-12-31,12/31,7235,7235
2020-12-30,12/30,12815,12815
2020-12-29,12/29,10723,10723
2020-12-28,12/28,10980,10980
2020-12-27,12/27,3838,3838
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7238,7238
2020-12-23,12/23,14249,14249
2020-12-22,12/22,9756,9756
2020-12-21,12/21,6271,6271
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5785,5785
2020-12-17,12/17,4495,4495
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
