Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,279045,0.1052600806109381,0.1052600806109381
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4155,0.0015673301257448,0.0015673301257448
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,7818,0.0029490702582605,0.0029490702582605
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,354664,0.1337847344686261,0.1337847344686261
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,525101,0.1980762012896996,0.1980762012896996
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,542944,0.2048068562677173,0.2048068562677173
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,937278,0.3535557269790136,0.3535557269790136
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,58456,0.1088949369517391,0.1088949369517391
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,768,0.0014306711300625,0.0014306711300625
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1314,0.0024477888865914,0.0024477888865914
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,41006,0.076388151509563,0.076388151509563
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,59396,0.1106460188036385,0.1106460188036385
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,68727,0.1280283004632916,0.1280283004632916
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,307144,0.572164132255114,0.572164132255114
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,201201,0.1042237338847702,0.1042237338847702
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3239,0.0016778280130455,0.0016778280130455
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,5681,0.0029428036252274,0.0029428036252274
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,238002,0.1232869474408331,0.1232869474408331
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,395507,0.2048758023944403,0.2048758023944403
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,422116,0.2186594780965484,0.2186594780965484
18 to 64 years,18 to 64 years,White,White,NYC,NYC,664726,0.3443334065451351,0.3443334065451351
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,41489,0.1057801891290325,0.1057801891290325
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,631,0.0016087950864186,0.0016087950864186
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,966,0.0024629097519498,0.0024629097519498
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,32391,0.0825839645708138,0.0825839645708138
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,49614,0.1264956567631859,0.1264956567631859
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,55732,0.1420940851922013,0.1420940851922013
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,211396,0.5389743995063982,0.5389743995063982
65+ years,65+ years,Other,Other,NYC,NYC,76585,0.1076481717310574,0.1076481717310574
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,895,0.0012580154560201,0.0012580154560201
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2055,0.002888515935331,0.002888515935331
65+ years,65+ years,Black,Black,NYC,NYC,115793,0.1627590879317664,0.1627590879317664
65+ years,65+ years,Latino,Latino,NYC,NYC,127938,0.1798301468293794,0.1798301468293794
65+ years,65+ years,Asian,Asian,NYC,NYC,118467,0.1665176726573503,0.1665176726573503
65+ years,65+ years,White,White,NYC,NYC,269705,0.3790983894590955,0.3790983894590955
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16753,0.1177243564968695,0.1177243564968695
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,133,0.0009345991412931,0.0009345991412931
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,340,0.0023892008123283,0.0023892008123283
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8516,0.0598424532876106,0.0598424532876106
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9476,0.0665884320518316,0.0665884320518316
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12664,0.0889907031980156,0.0889907031980156
65+ years,65+ years,White,White,Non- NYC,Non- NYC,94425,0.6635302550120514,0.6635302550120514
