Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6620,6620
2020-12-17,12/17,11109,11109
2020-12-18,12/18,16887,16887
2020-12-19,12/19,18572,18572
2020-12-20,12/20,19676,19676
2020-12-21,12/21,25946,25946
2020-12-22,12/22,35662,35662
2020-12-23,12/23,49886,49886
2020-12-24,12/24,57121,57121
2020-12-25,12/25,57301,57301
2020-12-26,12/26,61649,61649
2020-12-27,12/27,65486,65486
2020-12-28,12/28,76431,76431
2020-12-29,12/29,87102,87102
2020-12-30,12/30,99897,99897
2020-12-31,12/31,107131,107131
2021-01-01,1/1,107295,107295
2021-01-02,1/2,111100,111100
2021-01-03,1/3,114641,114641
2021-01-04,1/4,127604,127604
2021-01-05,1/5,143624,143624
2021-01-06,1/6,165127,165127
2021-01-07,1/7,186557,186557
2021-01-08,1/8,208345,208345
2021-01-09,1/9,217429,217429
2021-01-10,1/10,226202,226202
2021-01-11,1/11,259107,259107
2021-01-12,1/12,294729,294729
2021-01-13,1/13,335520,335520
2021-01-14,1/14,376228,376228
2021-01-15,1/15,408585,408585
2021-01-16,1/16,440870,440870
2021-01-17,1/17,466114,466114
2021-01-18,1/18,495183,495183
2021-01-19,1/19,538381,538381
2021-01-20,1/20,582216,582216
2021-01-21,1/21,615276,615276
2021-01-22,1/22,643762,643762
2021-01-23,1/23,662251,662251
2021-01-24,1/24,672591,672591
2021-01-25,1/25,696613,696613
2021-01-26,1/26,723472,723472
2021-01-27,1/27,755931,755931
2021-01-28,1/28,797751,797751
2021-01-29,1/29,840329,840329
2021-01-30,1/30,862261,862261
2021-01-31,1/31,877866,877866
2021-02-01,2/1,884189,884189
2021-02-02,2/2,896138,896138
2021-02-03,2/3,932713,932713
2021-02-04,2/4,978436,978436
2021-02-05,2/5,1024983,1024983
2021-02-06,2/6,1058643,1058643
2021-02-07,2/7,1078655,1078655
2021-02-08,2/8,1118273,1118273
2021-02-09,2/9,1162864,1162864
2021-02-10,2/10,1210718,1210718
2021-02-11,2/11,1270933,1270933
2021-02-12,2/12,1338416,1338416
2021-02-13,2/13,1390540,1390540
2021-02-14,2/14,1429993,1429993
2021-02-15,2/15,1452497,1452497
2021-02-16,2/16,1492449,1492449
2021-02-17,2/17,1529805,1529805
2021-02-18,2/18,1565799,1565799
2021-02-19,2/19,1602125,1602125
2021-02-20,2/20,1638731,1638731
2021-02-21,2/21,1662345,1662345
2021-02-22,2/22,1686503,1686503
2021-02-23,2/23,1725062,1725062
2021-02-24,2/24,1780643,1780643
2021-02-25,2/25,1864080,1864080
2021-02-26,2/26,1956909,1956909
2021-02-27,2/27,2029991,2029991
2021-02-28,2/28,2087843,2087843
2021-03-01,3/1,2138462,2138462
2021-03-02,3/2,2196660,2196660
2021-03-03,3/3,2259908,2259908
2021-03-04,3/4,2341701,2341701
2021-03-05,3/5,2427493,2427493
2021-03-06,3/6,2497589,2497589
2021-03-07,3/7,2553891,2553891
2021-03-08,3/8,2615572,2615572
2021-03-09,3/9,2673642,2673642
2021-03-10,3/10,2743793,2743793
2021-03-11,3/11,2827381,2827381
2021-03-12,3/12,2911086,2911086
2021-03-13,3/13,2981597,2981597
2021-03-14,3/14,3031383,3031383
2021-03-15,3/15,3085221,3085221
2021-03-16,3/16,3147178,3147178
2021-03-17,3/17,3217166,3217166
2021-03-18,3/18,3298425,3298425
2021-03-19,3/19,3378704,3378704
2021-03-20,3/20,3445074,3445074
2021-03-21,3/21,3493182,3493182
2021-03-22,3/22,3554956,3554956
2021-03-23,3/23,3626970,3626970
2021-03-24,3/24,3707797,3707797
2021-03-25,3/25,3803153,3803153
2021-03-26,3/26,3896625,3896625
2021-03-27,3/27,3976729,3976729
2021-03-28,3/28,4036289,4036289
2021-03-29,3/29,4110106,4110106
2021-03-30,3/30,4192872,4192872
2021-03-31,3/31,4290719,4290719
2021-04-01,4/1,4401792,4401792
2021-04-02,4/2,4506508,4506508
2021-04-03,4/3,4590115,4590115
2021-04-04,4/4,4641383,4641383
2021-04-05,4/5,4723888,4723888
2021-04-06,4/6,4818067,4818067
2021-04-07,4/7,4917147,4917147
2021-04-08,4/8,5028281,5028281
2021-04-09,4/9,5136910,5136910
2021-04-10,4/10,5226545,5226545
2021-04-11,4/11,5275975,5275975
2021-04-12,4/12,5340398,5340398
2021-04-13,4/13,5403220,5403220
2021-04-14,4/14,5460052,5460052
2021-04-15,4/15,5503429,5503429
