Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-15,4/15,43377,43377
2021-04-14,4/14,56832,56832
2021-04-13,4/13,62822,62822
2021-04-12,4/12,64423,64423
2021-04-11,4/11,49430,49430
2021-04-10,4/10,89635,89635
2021-04-09,4/9,108629,108629
2021-04-08,4/8,111134,111134
2021-04-07,4/7,99080,99080
2021-04-06,4/6,94179,94179
2021-04-05,4/5,82505,82505
2021-04-04,4/4,51268,51268
2021-04-03,4/3,83607,83607
2021-04-02,4/2,104716,104716
2021-04-01,4/1,111073,111073
2021-03-31,3/31,97847,97847
2021-03-30,3/30,82766,82766
2021-03-29,3/29,73817,73817
2021-03-28,3/28,59560,59560
2021-03-27,3/27,80104,80104
2021-03-26,3/26,93472,93472
2021-03-25,3/25,95356,95356
2021-03-24,3/24,80827,80827
2021-03-23,3/23,72014,72014
2021-03-22,3/22,61774,61774
2021-03-21,3/21,48108,48108
2021-03-20,3/20,66370,66370
2021-03-19,3/19,80279,80279
2021-03-18,3/18,81259,81259
2021-03-17,3/17,69988,69988
2021-03-16,3/16,61957,61957
2021-03-15,3/15,53838,53838
2021-03-14,3/14,49786,49786
2021-03-13,3/13,70511,70511
2021-03-12,3/12,83705,83705
2021-03-11,3/11,83588,83588
2021-03-10,3/10,70151,70151
2021-03-09,3/9,58070,58070
2021-03-08,3/8,61681,61681
2021-03-07,3/7,56302,56302
2021-03-06,3/6,70096,70096
2021-03-05,3/5,85792,85792
2021-03-04,3/4,81793,81793
2021-03-03,3/3,63248,63248
2021-03-02,3/2,58198,58198
2021-03-01,3/1,50619,50619
2021-02-28,2/28,57852,57852
2021-02-27,2/27,73082,73082
2021-02-26,2/26,92829,92829
2021-02-25,2/25,83437,83437
2021-02-24,2/24,55581,55581
2021-02-23,2/23,38559,38559
2021-02-22,2/22,24158,24158
2021-02-21,2/21,23614,23614
2021-02-20,2/20,36606,36606
2021-02-19,2/19,36326,36326
2021-02-18,2/18,35994,35994
2021-02-17,2/17,37356,37356
2021-02-16,2/16,39952,39952
2021-02-15,2/15,22504,22504
2021-02-14,2/14,39453,39453
2021-02-13,2/13,52124,52124
2021-02-12,2/12,67483,67483
2021-02-11,2/11,60215,60215
2021-02-10,2/10,47854,47854
2021-02-09,2/9,44591,44591
2021-02-08,2/8,39618,39618
2021-02-07,2/7,20012,20012
2021-02-06,2/6,33660,33660
2021-02-05,2/5,46547,46547
2021-02-04,2/4,45723,45723
2021-02-03,2/3,36575,36575
2021-02-02,2/2,11949,11949
2021-02-01,2/1,6323,6323
2021-01-31,1/31,15605,15605
2021-01-30,1/30,21932,21932
2021-01-29,1/29,42578,42578
2021-01-28,1/28,41820,41820
2021-01-27,1/27,32459,32459
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24022,24022
2021-01-24,1/24,10340,10340
2021-01-23,1/23,18489,18489
2021-01-22,1/22,28486,28486
2021-01-21,1/21,33060,33060
2021-01-20,1/20,43835,43835
2021-01-19,1/19,43198,43198
2021-01-18,1/18,29069,29069
2021-01-17,1/17,25244,25244
2021-01-16,1/16,32285,32285
2021-01-15,1/15,32357,32357
2021-01-14,1/14,40708,40708
2021-01-13,1/13,40791,40791
2021-01-12,1/12,35622,35622
2021-01-11,1/11,32905,32905
2021-01-10,1/10,8773,8773
2021-01-09,1/9,9084,9084
2021-01-08,1/8,21788,21788
2021-01-07,1/7,21430,21430
2021-01-06,1/6,21503,21503
2021-01-05,1/5,16020,16020
2021-01-04,1/4,12963,12963
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12795,12795
2020-12-29,12/29,10671,10671
2020-12-28,12/28,10945,10945
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,180,180
2020-12-24,12/24,7235,7235
2020-12-23,12/23,14224,14224
2020-12-22,12/22,9716,9716
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5778,5778
2020-12-17,12/17,4489,4489
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
