Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-07,4/7,40430,40430
2021-04-06,4/6,58751,58751
2021-04-05,4/5,52356,52356
2021-04-04,4/4,38370,38370
2021-04-03,4/3,80033,80033
2021-04-02,4/2,101800,101800
2021-04-01,4/1,109024,109024
2021-03-31,3/31,95473,95473
2021-03-30,3/30,80532,80532
2021-03-29,3/29,73454,73454
2021-03-28,3/28,58955,58955
2021-03-27,3/27,78849,78849
2021-03-26,3/26,91647,91647
2021-03-25,3/25,94053,94053
2021-03-24,3/24,80089,80089
2021-03-23,3/23,70925,70925
2021-03-22,3/22,60876,60876
2021-03-21,3/21,47834,47834
2021-03-20,3/20,65574,65574
2021-03-19,3/19,79158,79158
2021-03-18,3/18,80583,80583
2021-03-17,3/17,69809,69809
2021-03-16,3/16,61403,61403
2021-03-15,3/15,53096,53096
2021-03-14,3/14,49076,49076
2021-03-13,3/13,69326,69326
2021-03-12,3/12,82484,82484
2021-03-11,3/11,82439,82439
2021-03-10,3/10,69584,69584
2021-03-09,3/9,57826,57826
2021-03-08,3/8,61573,61573
2021-03-07,3/7,56235,56235
2021-03-06,3/6,69826,69826
2021-03-05,3/5,84526,84526
2021-03-04,3/4,80647,80647
2021-03-03,3/3,62623,62623
2021-03-02,3/2,57991,57991
2021-03-01,3/1,50539,50539
2021-02-28,2/28,57358,57358
2021-02-27,2/27,72509,72509
2021-02-26,2/26,92122,92122
2021-02-25,2/25,82985,82985
2021-02-24,2/24,54549,54549
2021-02-23,2/23,38493,38493
2021-02-22,2/22,24050,24050
2021-02-21,2/21,23395,23395
2021-02-20,2/20,36082,36082
2021-02-19,2/19,36131,36131
2021-02-18,2/18,35737,35737
2021-02-17,2/17,37311,37311
2021-02-16,2/16,39897,39897
2021-02-15,2/15,22499,22499
2021-02-14,2/14,39269,39269
2021-02-13,2/13,51835,51835
2021-02-12,2/12,66966,66966
2021-02-11,2/11,59928,59928
2021-02-10,2/10,47438,47438
2021-02-09,2/9,44503,44503
2021-02-08,2/8,39575,39575
2021-02-07,2/7,19987,19987
2021-02-06,2/6,33595,33595
2021-02-05,2/5,46380,46380
2021-02-04,2/4,45509,45509
2021-02-03,2/3,36345,36345
2021-02-02,2/2,11825,11825
2021-02-01,2/1,6298,6298
2021-01-31,1/31,15593,15593
2021-01-30,1/30,21920,21920
2021-01-29,1/29,42564,42564
2021-01-28,1/28,41819,41819
2021-01-27,1/27,32454,32454
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24019,24019
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18488,18488
2021-01-22,1/22,28474,28474
2021-01-21,1/21,33057,33057
2021-01-20,1/20,44236,44236
2021-01-19,1/19,43196,43196
2021-01-18,1/18,29062,29062
2021-01-17,1/17,25240,25240
2021-01-16,1/16,32289,32289
2021-01-15,1/15,32302,32302
2021-01-14,1/14,40713,40713
2021-01-13,1/13,40765,40765
2021-01-12,1/12,35618,35618
2021-01-11,1/11,32904,32904
2021-01-10,1/10,8771,8771
2021-01-09,1/9,9085,9085
2021-01-08,1/8,21787,21787
2021-01-07,1/7,21414,21414
2021-01-06,1/6,21403,21403
2021-01-05,1/5,15969,15969
2021-01-04,1/4,12952,12952
2021-01-03,1/3,3537,3537
2021-01-02,1/2,3801,3801
2021-01-01,1/1,162,162
2020-12-31,12/31,7227,7227
2020-12-30,12/30,12798,12798
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10945,10945
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7234,7234
2020-12-23,12/23,14220,14220
2020-12-22,12/22,9715,9715
2020-12-21,12/21,6269,6269
2020-12-20,12/20,1103,1103
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5773,5773
2020-12-17,12/17,4488,4488
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2034,2034
2020-12-14,12/14,77,77
