Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4834898515601334
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6332292537050882
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6479564499882124
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4618781188567972
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3202642897213739
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2501774427958225
STATEN ISLAND,Staten Island,25to34,25 to 34,0.184860705511519
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1195047658134918
STATEN ISLAND,Staten Island,%all%,%all%,0.3537950185486212
QUEENS,Queens,85andUp,85+,0.411523863151025
QUEENS,Queens,75to84,75 to 84,0.5169397504676404
QUEENS,Queens,65to74,65 to 74,0.5697579450175794
QUEENS,Queens,55to64,55 to 64,0.4156622038131166
QUEENS,Queens,45to54,45 to 54,0.306048414768267
QUEENS,Queens,35to44,35 to 44,0.2575101218733173
QUEENS,Queens,25to34,25 to 34,0.2015817264863239
QUEENS,Queens,18to24,18 to 24,0.1223801472605753
QUEENS,Queens,%all%,%all%,0.3235137351357561
MANHATTAN,Manhattan,85andUp,85+,0.5294832379899528
MANHATTAN,Manhattan,75to84,75 to 84,0.6624039446592258
MANHATTAN,Manhattan,65to74,65 to 74,0.6769304310806562
MANHATTAN,Manhattan,55to64,55 to 64,0.5103826909958123
MANHATTAN,Manhattan,45to54,45 to 54,0.3781024472129841
MANHATTAN,Manhattan,35to44,35 to 44,0.3095408829972597
MANHATTAN,Manhattan,25to34,25 to 34,0.269512976092048
MANHATTAN,Manhattan,18to24,18 to 24,0.1914334732002692
MANHATTAN,Manhattan,%all%,%all%,0.3902263492705182
BROOKLYN,Brooklyn,85andUp,85+,0.3336406433895646
BROOKLYN,Brooklyn,75to84,75 to 84,0.4553773169199614
BROOKLYN,Brooklyn,65to74,65 to 74,0.4993935588818654
BROOKLYN,Brooklyn,55to64,55 to 64,0.3545417957198103
BROOKLYN,Brooklyn,45to54,45 to 54,0.272956264431248
BROOKLYN,Brooklyn,35to44,35 to 44,0.2306933790706899
BROOKLYN,Brooklyn,25to34,25 to 34,0.1964339281041441
BROOKLYN,Brooklyn,18to24,18 to 24,0.0994910286554355
BROOKLYN,Brooklyn,%all%,%all%,0.2761406761670516
THE BRONX,Bronx,85andUp,85+,0.368851799669146
THE BRONX,Bronx,75to84,75 to 84,0.5082514080606216
THE BRONX,Bronx,65to74,65 to 74,0.5743038448890048
THE BRONX,Bronx,55to64,55 to 64,0.4217167730562351
THE BRONX,Bronx,45to54,45 to 54,0.2840757414501352
THE BRONX,Bronx,35to44,35 to 44,0.200764520793478
THE BRONX,Bronx,25to34,25 to 34,0.1237486721433967
THE BRONX,Bronx,18to24,18 to 24,0.0726504141839416
THE BRONX,Bronx,%all%,%all%,0.2726235940403848
%all%,%all%,85andUp,85+,0.4132269277626888
%all%,%all%,75to84,75 to 84,0.5379296379226786
%all%,%all%,65to74,65 to 74,0.5769572687623036
%all%,%all%,55to64,55 to 64,0.4194721772399725
%all%,%all%,45to54,45 to 54,0.3072492892138506
%all%,%all%,35to44,35 to 44,0.2503557901884589
%all%,%all%,25to34,25 to 34,0.2037798771853321
%all%,%all%,18to24,18 to 24,0.1198062940343756
%all%,%all%,%all%,%all%,0.3167356640973964
