Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.3035370822339087
Latino,Latino,STATEN ISLAND,Staten Island,0.1911224078285259
Black,Black,STATEN ISLAND,Staten Island,0.1781274707672865
Asian,Asian,STATEN ISLAND,Staten Island,0.3846560914344708
White,White,QUEENS,Queens,0.2716923413252676
Latino,Latino,QUEENS,Queens,0.1908552376103819
Black,Black,QUEENS,Queens,0.1624364834990983
Asian,Asian,QUEENS,Queens,0.3528393290033583
White,White,MANHATTAN,Manhattan,0.3761835235719889
Latino,Latino,MANHATTAN,Manhattan,0.2298479373074441
Black,Black,MANHATTAN,Manhattan,0.2160454340963004
Asian,Asian,MANHATTAN,Manhattan,0.3268408362927822
White,White,BROOKLYN,Brooklyn,0.2573387386329408
Latino,Latino,BROOKLYN,Brooklyn,0.1706593221491137
Black,Black,BROOKLYN,Brooklyn,0.1641556237649898
Asian,Asian,BROOKLYN,Brooklyn,0.3302489065663686
White,White,THE BRONX,Bronx,0.2883688467361593
Latino,Latino,THE BRONX,Bronx,0.1635456395231609
Black,Black,THE BRONX,Bronx,0.1707860828757728
Asian,Asian,THE BRONX,Bronx,0.3113340070584004
White,White,%all%,%all%,0.3030857283003638
Latino,Latino,%all%,%all%,0.1850919851390779
Black,Black,%all%,%all%,0.1715007193104622
Asian,Asian,%all%,%all%,0.3419535595308105
