Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.3340332409429265
STATEN ISLAND,Staten Island,F,Female,0.3688688755982023
QUEENS,Queens,M,Male,0.2995068033413607
QUEENS,Queens,F,Female,0.3349079685095648
MANHATTAN,Manhattan,M,Male,0.368050967770281
MANHATTAN,Manhattan,F,Female,0.4019129752113204
BROOKLYN,Brooklyn,M,Male,0.2552158775142368
BROOKLYN,Brooklyn,F,Female,0.2855416386486248
THE BRONX,Bronx,M,Male,0.2581431513318539
THE BRONX,Bronx,F,Female,0.2831879267875006
%all%,%all%,M,Male,0.2962029657715072
%all%,%all%,F,Female,0.3272665702029149
