Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3046640603192189
Latino,Latino,STATEN ISLAND,Staten Island,0.1948441132688665
Black,Black,STATEN ISLAND,Staten Island,0.1782763321000353
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3872656434638481
White,White,QUEENS,Queens,0.2908997098554271
Latino,Latino,QUEENS,Queens,0.2123721308583844
Black,Black,QUEENS,Queens,0.173269415279929
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3749727515543252
White,White,MANHATTAN,Manhattan,0.3923398686816862
Latino,Latino,MANHATTAN,Manhattan,0.2504227780696532
Black,Black,MANHATTAN,Manhattan,0.2236304918717386
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3467410831931052
White,White,BROOKLYN,Brooklyn,0.2690926585822202
Latino,Latino,BROOKLYN,Brooklyn,0.1873765181559358
Black,Black,BROOKLYN,Brooklyn,0.1684755086009106
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3432077194630521
White,White,THE BRONX,Bronx,0.3115954895395194
Latino,Latino,THE BRONX,Bronx,0.1862363089219025
Black,Black,THE BRONX,Bronx,0.1853178479598181
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3290457603485624
White,White,%all%,%all%,0.3172313996499206
Latino,Latino,%all%,%all%,0.2052587581862271
Black,Black,%all%,%all%,0.1798099320519333
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3603968714222491
