Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6620,6620
2020-12-17,12/17,11109,11109
2020-12-18,12/18,16887,16887
2020-12-19,12/19,18572,18572
2020-12-20,12/20,19676,19676
2020-12-21,12/21,25946,25946
2020-12-22,12/22,35662,35662
2020-12-23,12/23,49885,49885
2020-12-24,12/24,57120,57120
2020-12-25,12/25,57300,57300
2020-12-26,12/26,61648,61648
2020-12-27,12/27,65485,65485
2020-12-28,12/28,76430,76430
2020-12-29,12/29,87102,87102
2020-12-30,12/30,99898,99898
2020-12-31,12/31,107132,107132
2021-01-01,1/1,107296,107296
2021-01-02,1/2,111101,111101
2021-01-03,1/3,114642,114642
2021-01-04,1/4,127605,127605
2021-01-05,1/5,143625,143625
2021-01-06,1/6,165126,165126
2021-01-07,1/7,186558,186558
2021-01-08,1/8,208346,208346
2021-01-09,1/9,217431,217431
2021-01-10,1/10,226202,226202
2021-01-11,1/11,259108,259108
2021-01-12,1/12,294729,294729
2021-01-13,1/13,335520,335520
2021-01-14,1/14,376228,376228
2021-01-15,1/15,408575,408575
2021-01-16,1/16,440861,440861
2021-01-17,1/17,466101,466101
2021-01-18,1/18,495169,495169
2021-01-19,1/19,538368,538368
2021-01-20,1/20,582202,582202
2021-01-21,1/21,615262,615262
2021-01-22,1/22,643748,643748
2021-01-23,1/23,662237,662237
2021-01-24,1/24,672576,672576
2021-01-25,1/25,696597,696597
2021-01-26,1/26,723455,723455
2021-01-27,1/27,755913,755913
2021-01-28,1/28,797733,797733
2021-01-29,1/29,840312,840312
2021-01-30,1/30,862244,862244
2021-01-31,1/31,877849,877849
2021-02-01,2/1,884172,884172
2021-02-02,2/2,896123,896123
2021-02-03,2/3,932698,932698
2021-02-04,2/4,978419,978419
2021-02-05,2/5,1024971,1024971
2021-02-06,2/6,1058631,1058631
2021-02-07,2/7,1078645,1078645
2021-02-08,2/8,1118262,1118262
2021-02-09,2/9,1162856,1162856
2021-02-10,2/10,1210713,1210713
2021-02-11,2/11,1270849,1270849
2021-02-12,2/12,1338165,1338165
2021-02-13,2/13,1390243,1390243
2021-02-14,2/14,1429702,1429702
2021-02-15,2/15,1452207,1452207
2021-02-16,2/16,1492160,1492160
2021-02-17,2/17,1529516,1529516
2021-02-18,2/18,1565511,1565511
2021-02-19,2/19,1601843,1601843
2021-02-20,2/20,1638193,1638193
2021-02-21,2/21,1661811,1661811
2021-02-22,2/22,1685967,1685967
2021-02-23,2/23,1724527,1724527
2021-02-24,2/24,1780109,1780109
2021-02-25,2/25,1863465,1863465
2021-02-26,2/26,1955942,1955942
2021-02-27,2/27,2028823,2028823
2021-02-28,2/28,2086422,2086422
2021-03-01,3/1,2137037,2137037
2021-03-02,3/2,2195232,2195232
2021-03-03,3/3,2258472,2258472
2021-03-04,3/4,2340193,2340193
2021-03-05,3/5,2425794,2425794
2021-03-06,3/6,2495846,2495846
2021-03-07,3/7,2552146,2552146
2021-03-08,3/8,2613827,2613827
2021-03-09,3/9,2671898,2671898
2021-03-10,3/10,2742054,2742054
2021-03-11,3/11,2825455,2825455
2021-03-12,3/12,2908855,2908855
2021-03-13,3/13,2979001,2979001
2021-03-14,3/14,3028793,3028793
2021-03-15,3/15,3082624,3082624
2021-03-16,3/16,3144597,3144597
2021-03-17,3/17,3214579,3214579
2021-03-18,3/18,3295646,3295646
2021-03-19,3/19,3375484,3375484
2021-03-20,3/20,3441540,3441540
2021-03-21,3/21,3489645,3489645
2021-03-22,3/22,3550814,3550814
2021-03-23,3/23,3622104,3622104
2021-03-24,3/24,3702537,3702537
2021-03-25,3/25,3797537,3797537
2021-03-26,3/26,3890305,3890305
2021-03-27,3/27,3969511,3969511
2021-03-28,3/28,4028630,4028630
2021-03-29,3/29,4102159,4102159
2021-03-30,3/30,4184623,4184623
2021-03-31,3/31,4281934,4281934
2021-04-01,4/1,4392636,4392636
2021-04-02,4/2,4496520,4496520
2021-04-03,4/3,4579560,4579560
2021-04-04,4/4,4630673,4630673
2021-04-05,4/5,4712894,4712894
2021-04-06,4/6,4804847,4804847
2021-04-07,4/7,4903322,4903322
2021-04-08,4/8,5013740,5013740
2021-04-09,4/9,5121173,5121173
2021-04-10,4/10,5209927,5209927
2021-04-11,4/11,5258840,5258840
2021-04-12,4/12,5319652,5319652
2021-04-13,4/13,5369442,5369442
2021-04-14,4/14,5409174,5409174
