Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,275183,0.1054050223693081,0.1054050223693081
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4076,0.0015612551326837,0.0015612551326837
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,7686,0.0029440154440154,0.0029440154440154
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,349373,0.1338224704296133,0.1338224704296133
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,514460,0.1970567506281792,0.1970567506281792
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,532661,0.2040283906355335,0.2040283906355335
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,927281,0.3551820953606668,0.3551820953606668
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,58123,0.1090876672735121,0.1090876672735121
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,760,0.0014263996546611,0.0014263996546611
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1306,0.0024511551960361,0.0024511551960361
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,40580,0.0761622341923012,0.0761622341923012
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,58543,0.1098759407668775,0.1098759407668775
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,68057,0.1277322122332539,0.1277322122332539
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,305441,0.573264390683358,0.573264390683358
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,197829,0.1043788364679328,0.1043788364679328
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3170,0.0016725601989766,0.0016725601989766
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,5556,0.002931465131077,0.002931465131077
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,233725,0.1233183383299091,0.1233183383299091
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,386207,0.2037711220082541,0.2037711220082541
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,412921,0.2178660031298508,0.2178660031298508
18 to 64 years,18 to 64 years,White,White,NYC,NYC,655890,0.3460616747339996,0.3460616747339996
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,41211,0.1060218212877184,0.1060218212877184
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,622,0.0016001934639043,0.0016001934639043
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,959,0.002467179311711,0.002467179311711
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,32033,0.0824099633910724,0.0824099633910724
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,48818,0.1255920329917701,0.1255920329917701
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,55110,0.1417791990285642,0.1417791990285642
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,209950,0.5401296105252598,0.5401296105252598
65+ years,65+ years,Other,Other,NYC,NYC,76237,0.1078049987626825,0.1078049987626825
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,888,0.0012557004984622,0.0012557004984622
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2052,0.002901686286987,0.002901686286987
65+ years,65+ years,Black,Black,NYC,NYC,114855,0.1624138296744087,0.1624138296744087
65+ years,65+ years,Latino,Latino,NYC,NYC,126769,0.1792611446954431,0.1792611446954431
65+ years,65+ years,Asian,Asian,NYC,NYC,117656,0.1663746597376887,0.1663746597376887
65+ years,65+ years,White,White,NYC,NYC,268718,0.3799879803443278,0.3799879803443278
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16709,0.1177552573715961,0.1177552573715961
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,134,0.0009443536110955,0.0009443536110955
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,340,0.0023961211027795,0.0023961211027795
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8453,0.0595717990641033,0.0595717990641033
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9432,0.0664712183571066,0.0664712183571066
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12636,0.0890511360432993,0.0890511360432993
65+ years,65+ years,White,White,Non- NYC,Non- NYC,94192,0.6638101144500198,0.6638101144500198
