Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3377091303838888
Latino,Latino,STATEN ISLAND,Staten Island,0.2250508863040448
Black,Black,STATEN ISLAND,Staten Island,0.2064408962561197
Asian,Asian,STATEN ISLAND,Staten Island,0.4547737794130774
White,White,QUEENS,Queens,0.313983390631566
Latino,Latino,QUEENS,Queens,0.2351140522851306
Black,Black,QUEENS,Queens,0.1881056902859102
Asian,Asian,QUEENS,Queens,0.4211590725706704
White,White,MANHATTAN,Manhattan,0.4376184330989347
Latino,Latino,MANHATTAN,Manhattan,0.2731118255267258
Black,Black,MANHATTAN,Manhattan,0.2548148375325574
Asian,Asian,MANHATTAN,Manhattan,0.4105466776528845
White,White,BROOKLYN,Brooklyn,0.3060310039325041
Latino,Latino,BROOKLYN,Brooklyn,0.2077471411046461
Black,Black,BROOKLYN,Brooklyn,0.1907265540000217
Asian,Asian,BROOKLYN,Brooklyn,0.3979689266693876
White,White,THE BRONX,Bronx,0.3266031883680799
Latino,Latino,THE BRONX,Bronx,0.1977463147967692
Black,Black,THE BRONX,Bronx,0.2023504137625371
Asian,Asian,THE BRONX,Bronx,0.3609797558806117
White,White,%all%,%all%,0.3522917539558706
Latino,Latino,%all%,%all%,0.2241492087112535
Black,Black,%all%,%all%,0.2003991865860307
Asian,Asian,%all%,%all%,0.412102154602215
