Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.511259214379481
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6660363252561678
STATEN ISLAND,Staten Island,65to74,65 to 74,0.685141130328554
STATEN ISLAND,Staten Island,55to64,55 to 64,0.5169665809768638
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3718132518855576
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2937269746848278
STATEN ISLAND,Staten Island,25to34,25 to 34,0.2150218637494399
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1389895124858878
STATEN ISLAND,Staten Island,%all%,%all%,0.3940155028008178
QUEENS,Queens,85andUp,85+,0.4362985876024329
QUEENS,Queens,75to84,75 to 84,0.550726900484104
QUEENS,Queens,65to74,65 to 74,0.6106777217503826
QUEENS,Queens,55to64,55 to 64,0.4840754839464522
QUEENS,Queens,45to54,45 to 54,0.3759515353552894
QUEENS,Queens,35to44,35 to 44,0.3178064393241627
QUEENS,Queens,25to34,25 to 34,0.2452371234406857
QUEENS,Queens,18to24,18 to 24,0.1442372198129832
QUEENS,Queens,%all%,%all%,0.3749100054730631
MANHATTAN,Manhattan,85andUp,85+,0.5501483257153632
MANHATTAN,Manhattan,75to84,75 to 84,0.683083998002281
MANHATTAN,Manhattan,65to74,65 to 74,0.7039521705413142
MANHATTAN,Manhattan,55to64,55 to 64,0.5798158539794686
MANHATTAN,Manhattan,45to54,45 to 54,0.4610409483397996
MANHATTAN,Manhattan,35to44,35 to 44,0.3950734481153375
MANHATTAN,Manhattan,25to34,25 to 34,0.3404624756496543
MANHATTAN,Manhattan,18to24,18 to 24,0.2299021282596325
MANHATTAN,Manhattan,%all%,%all%,0.45246432172467
BROOKLYN,Brooklyn,85andUp,85+,0.3563946645743429
BROOKLYN,Brooklyn,75to84,75 to 84,0.4841600960051004
BROOKLYN,Brooklyn,65to74,65 to 74,0.532631288556575
BROOKLYN,Brooklyn,55to64,55 to 64,0.4076189476262971
BROOKLYN,Brooklyn,45to54,45 to 54,0.3300583005491492
BROOKLYN,Brooklyn,35to44,35 to 44,0.2934835440492086
BROOKLYN,Brooklyn,25to34,25 to 34,0.2478805040411369
BROOKLYN,Brooklyn,18to24,18 to 24,0.1160961231996106
BROOKLYN,Brooklyn,%all%,%all%,0.3231777220580598
THE BRONX,Bronx,85andUp,85+,0.3962159197302015
THE BRONX,Bronx,75to84,75 to 84,0.5421947182886446
THE BRONX,Bronx,65to74,65 to 74,0.6195769338529696
THE BRONX,Bronx,55to64,55 to 64,0.4940588032910494
THE BRONX,Bronx,45to54,45 to 54,0.345437389433323
THE BRONX,Bronx,35to44,35 to 44,0.2439923728592537
THE BRONX,Bronx,25to34,25 to 34,0.1482701156351827
THE BRONX,Bronx,18to24,18 to 24,0.0866185920377782
THE BRONX,Bronx,%all%,%all%,0.3147994458681533
%all%,%all%,85andUp,85+,0.4370619991281897
%all%,%all%,75to84,75 to 84,0.5673541163003936
%all%,%all%,65to74,65 to 74,0.6131678712289318
%all%,%all%,55to64,55 to 64,0.483444985319623
%all%,%all%,45to54,45 to 54,0.373333190673552
%all%,%all%,35to44,35 to 44,0.313024119848079
%all%,%all%,25to34,25 to 34,0.2530027990852592
%all%,%all%,18to24,18 to 24,0.1418250855893525
%all%,%all%,%all%,%all%,0.3669706000947821
