Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3991056874529521
Latino,Latino,STATEN ISLAND,Staten Island,0.312591173321022
Black,Black,STATEN ISLAND,Staten Island,0.2692306064095891
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6293707228191694
White,White,QUEENS,Queens,0.3993902811838866
Latino,Latino,QUEENS,Queens,0.3480346582189929
Black,Black,QUEENS,Queens,0.2502074385926108
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5947824803523618
White,White,MANHATTAN,Manhattan,0.5533720638126572
Latino,Latino,MANHATTAN,Manhattan,0.3734289615561787
Black,Black,MANHATTAN,Manhattan,0.3326649490651525
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.61386316475795
White,White,BROOKLYN,Brooklyn,0.4041626638029576
Latino,Latino,BROOKLYN,Brooklyn,0.3076296194977245
Black,Black,BROOKLYN,Brooklyn,0.2540743904740928
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6011723358326302
White,White,THE BRONX,Bronx,0.4014280828369613
Latino,Latino,THE BRONX,Bronx,0.2743863170417332
Black,Black,THE BRONX,Bronx,0.2595093204787529
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4780788762130542
White,White,%all%,%all%,0.4481452158876284
Latino,Latino,%all%,%all%,0.3196250412972117
Black,Black,%all%,%all%,0.2637672583082634
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.595916823864963
