Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2307455245244867
Latino,Latino,STATEN ISLAND,Staten Island,0.1219339786725387
Black,Black,STATEN ISLAND,Staten Island,0.1189699771328893
Asian,Asian,STATEN ISLAND,Staten Island,0.2477491641910764
White,White,QUEENS,Queens,0.2059293504060646
Latino,Latino,QUEENS,Queens,0.1267696533105077
Black,Black,QUEENS,Queens,0.1208356046938301
Asian,Asian,QUEENS,Queens,0.2457892770866497
White,White,MANHATTAN,Manhattan,0.2919236857599017
Latino,Latino,MANHATTAN,Manhattan,0.1654541153199848
Black,Black,MANHATTAN,Manhattan,0.1557900224863674
Asian,Asian,MANHATTAN,Manhattan,0.2172720433531284
White,White,BROOKLYN,Brooklyn,0.1884534198165958
Latino,Latino,BROOKLYN,Brooklyn,0.114534934628197
Black,Black,BROOKLYN,Brooklyn,0.1142999850288366
Asian,Asian,BROOKLYN,Brooklyn,0.2087876975846556
White,White,THE BRONX,Bronx,0.2316813506659034
Latino,Latino,THE BRONX,Bronx,0.1167467705036256
Black,Black,THE BRONX,Bronx,0.1267461307493202
Asian,Asian,THE BRONX,Bronx,0.2243987846763949
White,White,%all%,%all%,0.2303471475642434
Latino,Latino,%all%,%all%,0.1279359818846359
Black,Black,%all%,%all%,0.1233813469814162
Asian,Asian,%all%,%all%,0.2305275630952935
