Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.2379226783698003
STATEN ISLAND,Staten Island,F,Female,0.2697715375812661
QUEENS,Queens,M,Male,0.2112233459869814
QUEENS,Queens,F,Female,0.2379459171898278
MANHATTAN,Manhattan,M,Male,0.267627605444748
MANHATTAN,Manhattan,F,Female,0.3005742453415187
BROOKLYN,Brooklyn,M,Male,0.1741965892216306
BROOKLYN,Brooklyn,F,Female,0.1973757772931629
THE BRONX,Bronx,M,Male,0.1909220777677239
THE BRONX,Bronx,F,Female,0.2101789819125064
%all%,%all%,M,Male,0.210396600057818
%all%,%all%,F,Female,0.2358960859483818
