Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4079571846915076
STATEN ISLAND,Staten Island,75to84,75 to 84,0.5231540525089056
STATEN ISLAND,Staten Island,65to74,65 to 74,0.5273580659679804
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2958566460003025
STATEN ISLAND,Staten Island,45to54,45 to 54,0.2138627438758337
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1752627843309562
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1292974242494476
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0725195552089044
STATEN ISLAND,Staten Island,%all%,%all%,0.2557748391244859
QUEENS,Queens,85andUp,85+,0.3251319389498684
QUEENS,Queens,75to84,75 to 84,0.4082705079928981
QUEENS,Queens,65to74,65 to 74,0.439055166765899
QUEENS,Queens,55to64,55 to 64,0.2663664401587802
QUEENS,Queens,45to54,45 to 54,0.2087274272653496
QUEENS,Queens,35to44,35 to 44,0.179728909271743
QUEENS,Queens,25to34,25 to 34,0.1405552057012123
QUEENS,Queens,18to24,18 to 24,0.0801197063789362
QUEENS,Queens,%all%,%all%,0.2292014856170346
MANHATTAN,Manhattan,85andUp,85+,0.4619638930402216
MANHATTAN,Manhattan,75to84,75 to 84,0.5854638704201574
MANHATTAN,Manhattan,65to74,65 to 74,0.5863392714967274
MANHATTAN,Manhattan,55to64,55 to 64,0.3349245492124659
MANHATTAN,Manhattan,45to54,45 to 54,0.2525790818286826
MANHATTAN,Manhattan,35to44,35 to 44,0.2185458570694331
MANHATTAN,Manhattan,25to34,25 to 34,0.1862142751531342
MANHATTAN,Manhattan,18to24,18 to 24,0.1123779215590464
MANHATTAN,Manhattan,%all%,%all%,0.2881424014882901
BROOKLYN,Brooklyn,85andUp,85+,0.2585327579442919
BROOKLYN,Brooklyn,75to84,75 to 84,0.3523218420978615
BROOKLYN,Brooklyn,65to74,65 to 74,0.3793848071041605
BROOKLYN,Brooklyn,55to64,55 to 64,0.2177787110434494
BROOKLYN,Brooklyn,45to54,45 to 54,0.1772004902392286
BROOKLYN,Brooklyn,35to44,35 to 44,0.1587603984513361
BROOKLYN,Brooklyn,25to34,25 to 34,0.1331500869073123
BROOKLYN,Brooklyn,18to24,18 to 24,0.0615124684592101
BROOKLYN,Brooklyn,%all%,%all%,0.1900868790855951
THE BRONX,Bronx,85andUp,85+,0.3051400091423751
THE BRONX,Bronx,75to84,75 to 84,0.4099280890693203
THE BRONX,Bronx,65to74,65 to 74,0.4541260980416832
THE BRONX,Bronx,55to64,55 to 64,0.2903226465855931
THE BRONX,Bronx,45to54,45 to 54,0.2058975638735037
THE BRONX,Bronx,35to44,35 to 44,0.1480551142918964
THE BRONX,Bronx,25to34,25 to 34,0.0914353681028189
THE BRONX,Bronx,18to24,18 to 24,0.0450390677851734
THE BRONX,Bronx,%all%,%all%,0.2019734673618356
%all%,%all%,85andUp,85+,0.3382232952195733
%all%,%all%,75to84,75 to 84,0.4394072858981132
%all%,%all%,65to74,65 to 74,0.4598292976439736
%all%,%all%,55to64,55 to 64,0.2708202897624523
%all%,%all%,45to54,45 to 54,0.2077509004588133
%all%,%all%,35to44,35 to 44,0.1758210441320567
%all%,%all%,25to34,25 to 34,0.1412705676825286
%all%,%all%,18to24,18 to 24,0.0739025913771934
%all%,%all%,%all%,%all%,0.2268883221396661
