Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3216766796913343
Latino,Latino,STATEN ISLAND,Staten Island,0.2071000742879192
Black,Black,STATEN ISLAND,Staten Island,0.192954059509073
Asian,Asian,STATEN ISLAND,Staten Island,0.4180140002354623
White,White,QUEENS,Queens,0.292257573430494
Latino,Latino,QUEENS,Queens,0.2113464292985549
Black,Black,QUEENS,Queens,0.1755298063526331
Asian,Asian,QUEENS,Queens,0.3841402641493831
White,White,MANHATTAN,Manhattan,0.4061686669348133
Latino,Latino,MANHATTAN,Manhattan,0.2519151592660274
Black,Black,MANHATTAN,Manhattan,0.2354421090705859
Asian,Asian,MANHATTAN,Manhattan,0.3642236513648522
White,White,BROOKLYN,Brooklyn,0.2806875565214557
Latino,Latino,BROOKLYN,Brooklyn,0.1879992613846667
Black,Black,BROOKLYN,Brooklyn,0.1774758199627332
Asian,Asian,BROOKLYN,Brooklyn,0.361903385133299
White,White,THE BRONX,Bronx,0.3069334444826274
Latino,Latino,THE BRONX,Bronx,0.1806816276206394
Black,Black,THE BRONX,Bronx,0.1878375702476116
Asian,Asian,THE BRONX,Bronx,0.3352080960475704
White,White,%all%,%all%,0.3270965873460303
Latino,Latino,%all%,%all%,0.2040060103498652
Black,Black,%all%,%all%,0.1863171634351231
Asian,Asian,%all%,%all%,0.3741781289697552
