Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4976269817227104
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6520955187123444
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6710173814269488
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4928171782851958
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3460076045627377
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2696792510224085
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1993386795222423
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1297890822977577
STATEN ISLAND,Staten Island,%all%,%all%,0.3748096789194471
QUEENS,Queens,85andUp,85+,0.4240758736627625
QUEENS,Queens,75to84,75 to 84,0.5345896182081716
QUEENS,Queens,65to74,65 to 74,0.5900237986154904
QUEENS,Queens,55to64,55 to 64,0.4499251756516659
QUEENS,Queens,45to54,45 to 54,0.3388901428344934
QUEENS,Queens,35to44,35 to 44,0.2833324216242732
QUEENS,Queens,25to34,25 to 34,0.2218604514791525
QUEENS,Queens,18to24,18 to 24,0.1334546262835942
QUEENS,Queens,%all%,%all%,0.3478711410550921
MANHATTAN,Manhattan,85andUp,85+,0.5418370935925066
MANHATTAN,Manhattan,75to84,75 to 84,0.6741160245593298
MANHATTAN,Manhattan,65to74,65 to 74,0.6913208266321884
MANHATTAN,Manhattan,55to64,55 to 64,0.5480743509902668
MANHATTAN,Manhattan,45to54,45 to 54,0.4197244151962309
MANHATTAN,Manhattan,35to44,35 to 44,0.3479462507109467
MANHATTAN,Manhattan,25to34,25 to 34,0.3027974114366666
MANHATTAN,Manhattan,18to24,18 to 24,0.2114699544868305
MANHATTAN,Manhattan,%all%,%all%,0.420778037845699
BROOKLYN,Brooklyn,85andUp,85+,0.347038054138878
BROOKLYN,Brooklyn,75to84,75 to 84,0.4713344146407778
BROOKLYN,Brooklyn,65to74,65 to 74,0.5169969987110155
BROOKLYN,Brooklyn,55to64,55 to 64,0.3827112534341261
BROOKLYN,Brooklyn,45to54,45 to 54,0.3004103383598654
BROOKLYN,Brooklyn,35to44,35 to 44,0.2588062102987268
BROOKLYN,Brooklyn,25to34,25 to 34,0.2203765203460975
BROOKLYN,Brooklyn,18to24,18 to 24,0.1080028838419454
BROOKLYN,Brooklyn,%all%,%all%,0.2989792953687021
THE BRONX,Bronx,85andUp,85+,0.3823083312376321
THE BRONX,Bronx,75to84,75 to 84,0.5258881102198132
THE BRONX,Bronx,65to74,65 to 74,0.5979654404418694
THE BRONX,Bronx,55to64,55 to 64,0.4596408112356632
THE BRONX,Bronx,45to54,45 to 54,0.3134543623809034
THE BRONX,Bronx,35to44,35 to 44,0.2187733354870306
THE BRONX,Bronx,25to34,25 to 34,0.1348062389516086
THE BRONX,Bronx,18to24,18 to 24,0.0790278190675702
THE BRONX,Bronx,%all%,%all%,0.2929627616618596
%all%,%all%,85andUp,85+,0.426197900948932
%all%,%all%,75to84,75 to 84,0.5538491692083836
%all%,%all%,65to74,65 to 74,0.595915386167127
%all%,%all%,55to64,55 to 64,0.4529952340777802
%all%,%all%,45to54,45 to 54,0.3391639034439693
%all%,%all%,35to44,35 to 44,0.2779060010238314
%all%,%all%,25to34,25 to 34,0.2267077082346217
%all%,%all%,18to24,18 to 24,0.1309888202945727
%all%,%all%,%all%,%all%,0.3410934861100607
