Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.3545499038922102
STATEN ISLAND,Staten Island,F,Female,0.390293661534185
QUEENS,Queens,M,Male,0.323985174712315
QUEENS,Queens,F,Female,0.3589440104540052
MANHATTAN,Manhattan,M,Male,0.3995645880944943
MANHATTAN,Manhattan,F,Female,0.4309150969120337
BROOKLYN,Brooklyn,M,Male,0.2788173662981387
BROOKLYN,Brooklyn,F,Female,0.3074518657300394
THE BRONX,Bronx,M,Male,0.2780206033030237
THE BRONX,Bronx,F,Female,0.3036521261843681
%all%,%all%,M,Male,0.3209391187543078
%all%,%all%,F,Female,0.3509601430275766
