Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,287230,0.1043097355995331,0.1043097355995331
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4381,0.0015909931123544,0.0015909931123544
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,8178,0.0029699022307314,0.0029699022307314
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,367855,0.1335893109667036,0.1335893109667036
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,550238,0.1998230696543394,0.1998230696543394
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,570491,0.2071780989865726,0.2071780989865726
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,965253,0.3505388894497655,0.3505388894497655
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,59048,0.1087426128944931,0.1087426128944931
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,775,0.0014272375862558,0.0014272375862558
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1340,0.0024677398265584,0.0024677398265584
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,41777,0.076936393085172,0.076936393085172
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,60859,0.1120777448541179,0.1120777448541179
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,69855,0.1286447504359981,0.1286447504359981
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,309353,0.5697035213174048,0.5697035213174048
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,208258,0.1030077095773953,0.1030077095773953
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3436,0.0016995000917512,0.0016995000917512
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,5986,0.0029607705323699,0.0029607705323699
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,248805,0.1230628988149499,0.1230628988149499
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,417962,0.2067306336870002,0.2067306336870002
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,447278,0.221230792211383,0.221230792211383
18 to 64 years,18 to 64 years,White,White,NYC,NYC,690046,0.3413076950851506,0.3413076950851506
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,41998,0.1055791164618251,0.1055791164618251
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,635,0.0015963317051588,0.0015963317051588
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,989,0.0024862552069324,0.0024862552069324
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,33081,0.0831625970682803,0.0831625970682803
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,50963,0.1281163034488307,0.1281163034488307
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,56777,0.1427321657067727,0.1427321657067727
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,213344,0.5363272304022002,0.5363272304022002
65+ years,65+ years,Other,Other,NYC,NYC,77378,0.1073827924966104,0.1073827924966104
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,921,0.0012781352825012,0.0012781352825012
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2092,0.0029032128240961,0.0029032128240961
65+ years,65+ years,Black,Black,NYC,NYC,117938,0.1636707046119728,0.1636707046119728
65+ years,65+ years,Latino,Latino,NYC,NYC,130161,0.1806334055435822,0.1806334055435822
65+ years,65+ years,Asian,Asian,NYC,NYC,120231,0.1668528590123803,0.1668528590123803
65+ years,65+ years,White,White,NYC,NYC,271860,0.377278890228857,0.377278890228857
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16821,0.1177949425416144,0.1177949425416144
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,134,0.000938381921442,0.000938381921442
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,342,0.0023949747547252,0.0023949747547252
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8588,0.0601404771742099,0.0601404771742099
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9557,0.0669262389792646,0.0669262389792646
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12715,0.0890412397845923,0.0890412397845923
65+ years,65+ years,White,White,Non- NYC,Non- NYC,94642,0.6627637448441516,0.6627637448441516
