Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4332216025948517
Latino,Latino,STATEN ISLAND,Staten Island,0.3767103829979247
Black,Black,STATEN ISLAND,Staten Island,0.3195159646121542
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.7176285410038292
White,White,QUEENS,Queens,0.4567941212228858
Latino,Latino,QUEENS,Queens,0.456833771043014
Black,Black,QUEENS,Queens,0.3039363594586526
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.714335578255451
White,White,MANHATTAN,Manhattan,0.6090658867677858
Latino,Latino,MANHATTAN,Manhattan,0.4466800052782172
Black,Black,MANHATTAN,Manhattan,0.3882388175177116
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.7106608434078888
White,White,BROOKLYN,Brooklyn,0.4541175090270936
Latino,Latino,BROOKLYN,Brooklyn,0.3845121146430064
Black,Black,BROOKLYN,Brooklyn,0.3048843069860217
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7320376259962006
White,White,THE BRONX,Bronx,0.4566110942474234
Latino,Latino,THE BRONX,Bronx,0.3404754805680695
Black,Black,THE BRONX,Bronx,0.3105439459898437
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5690117501555344
White,White,%all%,%all%,0.5000557922262808
Latino,Latino,%all%,%all%,0.4003568268095242
Black,Black,%all%,%all%,0.3158257976783497
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.7117070504475532
