Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4212048209419082
Latino,Latino,STATEN ISLAND,Staten Island,0.3531930546550827
Black,Black,STATEN ISLAND,Staten Island,0.3009678425516461
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6880303288230184
White,White,QUEENS,Queens,0.4411335679042615
Latino,Latino,QUEENS,Queens,0.4209882007416037
Black,Black,QUEENS,Queens,0.2886915800419418
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6804782218793411
White,White,MANHATTAN,Manhattan,0.5947190405699112
Latino,Latino,MANHATTAN,Manhattan,0.4187281907973449
Black,Black,MANHATTAN,Manhattan,0.3715002054102728
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6817170075650674
White,White,BROOKLYN,Brooklyn,0.4404895969422107
Latino,Latino,BROOKLYN,Brooklyn,0.3570920383450617
Black,Black,BROOKLYN,Brooklyn,0.2885358913646293
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6907960144650984
White,White,THE BRONX,Bronx,0.4426992546155028
Latino,Latino,THE BRONX,Bronx,0.314693406936565
Black,Black,THE BRONX,Bronx,0.2943439292283981
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5442237670165748
White,White,%all%,%all%,0.485926738009782
Latino,Latino,%all%,%all%,0.3712782742962645
Black,Black,%all%,%all%,0.2996650947329389
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6774513894810236
