Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,135133,0.1103450810033969,0.1103450810033969
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2068,0.0016886595244317,0.0016886595244317
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,3579,0.0029224915077084,0.0029224915077084
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,156671,0.1279322903057225,0.1279322903057225
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,237759,0.1941460347530703,0.1941460347530703
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,251117,0.2050537300757774,0.2050537300757774
18 to 64 years,18 to 64 years,White,White,NYC,NYC,438313,0.3579117128298929,0.3579117128298929
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,34187,0.114587278656875,0.114587278656875
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,533,0.0017864983626558,0.0017864983626558
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,761,0.0025507040412403,0.0025507040412403
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,23512,0.0788070347143781,0.0788070347143781
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,33289,0.1115773808526256,0.1115773808526256
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,39941,0.1338734167032569,0.1338734167032569
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,166126,0.5568176866689682,0.5568176866689682
65+ years,65+ years,Other,Other,NYC,NYC,65944,0.1112532012457443,0.1112532012457443
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,795,0.0013412333948557,0.0013412333948557
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1627,0.0027448889728683,0.0027448889728683
65+ years,65+ years,Black,Black,NYC,NYC,92493,0.1560436482898009,0.1560436482898009
65+ years,65+ years,Latino,Latino,NYC,NYC,99847,0.1684504789637243,0.1684504789637243
65+ years,65+ years,Asian,Asian,NYC,NYC,95489,0.1610981580394711,0.1610981580394711
65+ years,65+ years,White,White,NYC,NYC,236543,0.3990683910935354,0.3990683910935354
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,15612,0.1233438411035529,0.1233438411035529
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,129,0.0010191747055059,0.0010191747055059
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,299,0.0023622731546222,0.0023622731546222
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,6822,0.0538977507051267,0.0538977507051267
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,7818,0.0617667275011258,0.0617667275011258
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,11015,0.0870248789236251,0.0870248789236251
65+ years,65+ years,White,White,Non- NYC,Non- NYC,84878,0.6705853539064414,0.6705853539064414
%all%,All,Other,Other,NYC,NYC,201077,0.1106412645030368,0.1106412645030368
%all%,All,NH/PI,NH/PI,NYC,NYC,2863,0.0015753464606703,0.0015753464606703
%all%,All,AI/AN,AI/AN,NYC,NYC,5206,0.0028645664248164,0.0028645664248164
%all%,All,Black,Black,NYC,NYC,249164,0.1371008122691042,0.1371008122691042
%all%,All,Latino,Latino,NYC,NYC,337606,0.1857654268952304,0.1857654268952304
%all%,All,Asian,Asian,NYC,NYC,346606,0.1907176162581477,0.1907176162581477
%all%,All,White,White,NYC,NYC,674856,0.3713349671889943,0.3713349671889943
%all%,All,Other,Other,Non- NYC,Non- NYC,49799,0.1171956264914502,0.1171956264914502
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,662,0.0015579329853479,0.0015579329853479
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,1060,0.0024945754750284,0.0024945754750284
%all%,All,Black,Black,Non- NYC,Non- NYC,30334,0.0713872193014247,0.0713872193014247
%all%,All,Latino,Latino,Non- NYC,Non- NYC,41107,0.0967401075962177,0.0967401075962177
%all%,All,Asian,Asian,Non- NYC,Non- NYC,50956,0.1199184791561746,0.1199184791561746
%all%,All,White,White,Non- NYC,Non- NYC,251004,0.5907060589943566,0.5907060589943566
