Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11105,11105
2020-12-18,12/18,16864,16864
2020-12-19,12/19,18549,18549
2020-12-20,12/20,19647,19647
2020-12-21,12/21,25912,25912
2020-12-22,12/22,35626,35626
2020-12-23,12/23,49842,49842
2020-12-24,12/24,57075,57075
2020-12-25,12/25,57254,57254
2020-12-26,12/26,61602,61602
2020-12-27,12/27,65434,65434
2020-12-28,12/28,76380,76380
2020-12-29,12/29,87054,87054
2020-12-30,12/30,99851,99851
2020-12-31,12/31,107077,107077
2021-01-01,1/1,107237,107237
2021-01-02,1/2,111038,111038
2021-01-03,1/3,114576,114576
2021-01-04,1/4,127524,127524
2021-01-05,1/5,143488,143488
2021-01-06,1/6,164874,164874
2021-01-07,1/7,186223,186223
2021-01-08,1/8,207850,207850
2021-01-09,1/9,216885,216885
2021-01-10,1/10,225627,225627
2021-01-11,1/11,258339,258339
2021-01-12,1/12,293920,293920
2021-01-13,1/13,334577,334577
2021-01-14,1/14,375191,375191
2021-01-15,1/15,407386,407386
2021-01-16,1/16,439581,439581
2021-01-17,1/17,464734,464734
2021-01-18,1/18,493689,493689
2021-01-19,1/19,535852,535852
2021-01-20,1/20,580549,580549
2021-01-21,1/21,613513,613513
2021-01-22,1/22,641916,641916
2021-01-23,1/23,660401,660401
2021-01-24,1/24,670735,670735
2021-01-25,1/25,694747,694747
2021-01-26,1/26,721559,721559
2021-01-27,1/27,753897,753897
2021-01-28,1/28,795612,795612
2021-01-29,1/29,838091,838091
2021-01-30,1/30,859940,859940
2021-01-31,1/31,875479,875479
2021-02-01,2/1,881778,881778
2021-02-02,2/2,893575,893575
2021-02-03,2/3,929806,929806
2021-02-04,2/4,975125,975125
2021-02-05,2/5,1021234,1021234
2021-02-06,2/6,1054538,1054538
2021-02-07,2/7,1074393,1074393
2021-02-08,2/8,1113802,1113802
2021-02-09,2/9,1158130,1158130
2021-02-10,2/10,1205797,1205797
2021-02-11,2/11,1265482,1265482
2021-02-12,2/12,1332204,1332204
2021-02-13,2/13,1383843,1383843
2021-02-14,2/14,1422680,1422680
2021-02-15,2/15,1444776,1444776
2021-02-16,2/16,1484477,1484477
2021-02-17,2/17,1521605,1521605
2021-02-18,2/18,1557107,1557107
2021-02-19,2/19,1592797,1592797
2021-02-20,2/20,1628309,1628309
2021-02-21,2/21,1651536,1651536
2021-02-22,2/22,1675462,1675462
2021-02-23,2/23,1713776,1713776
2021-02-24,2/24,1768143,1768143
2021-02-25,2/25,1850779,1850779
2021-02-26,2/26,1942722,1942722
2021-02-27,2/27,2015033,2015033
2021-02-28,2/28,2072213,2072213
2021-03-01,3/1,2122576,2122576
2021-03-02,3/2,2180600,2180600
2021-03-03,3/3,2243507,2243507
2021-03-04,3/4,2324621,2324621
2021-03-05,3/5,2409632,2409632
2021-03-06,3/6,2479078,2479078
2021-03-07,3/7,2534970,2534970
2021-03-08,3/8,2596473,2596473
2021-03-09,3/9,2654321,2654321
2021-03-10,3/10,2724134,2724134
2021-03-11,3/11,2806791,2806791
2021-03-12,3/12,2889103,2889103
2021-03-13,3/13,2958144,2958144
2021-03-14,3/14,3007112,3007112
2021-03-15,3/15,3060592,3060592
2021-03-16,3/16,3122209,3122209
2021-03-17,3/17,3191686,3191686
2021-03-18,3/18,3271482,3271482
2021-03-19,3/19,3349641,3349641
2021-03-20,3/20,3405688,3405688
2021-03-21,3/21,3439791,3439791
2021-03-22,3/22,3484856,3484856
2021-03-23,3/23,3541446,3541446
2021-03-24,3/24,3606961,3606961
2021-03-25,3/25,3684983,3684983
2021-03-26,3/26,3760933,3760933
2021-03-27,3/27,3819873,3819873
2021-03-28,3/28,3840976,3840976
