Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3813995758860952
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4895114121113506
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4900233609807326
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2600635112656888
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1891946643395874
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1558454726738095
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1155920208903104
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0620335854602412
STATEN ISLAND,Staten Island,%all%,%all%,0.2311961009299928
QUEENS,Queens,85andUp,85+,0.293693801510748
QUEENS,Queens,75to84,75 to 84,0.3665195043857148
QUEENS,Queens,65to74,65 to 74,0.3860621155492341
QUEENS,Queens,55to64,55 to 64,0.2139116196361268
QUEENS,Queens,45to54,45 to 54,0.1687733087977102
QUEENS,Queens,35to44,35 to 44,0.1484336688407313
QUEENS,Queens,25to34,25 to 34,0.1186902656531699
QUEENS,Queens,18to24,18 to 24,0.0663152395037313
QUEENS,Queens,%all%,%all%,0.193395934004264
MANHATTAN,Manhattan,85andUp,85+,0.4422027459686564
MANHATTAN,Manhattan,75to84,75 to 84,0.56213312700998
MANHATTAN,Manhattan,65to74,65 to 74,0.5552581820920546
MANHATTAN,Manhattan,55to64,55 to 64,0.2853435736492912
MANHATTAN,Manhattan,45to54,45 to 54,0.2139493399019429
MANHATTAN,Manhattan,35to44,35 to 44,0.1874697580033963
MANHATTAN,Manhattan,25to34,25 to 34,0.1614018369723586
MANHATTAN,Manhattan,18to24,18 to 24,0.0935151544275731
MANHATTAN,Manhattan,%all%,%all%,0.2572828545695331
BROOKLYN,Brooklyn,85andUp,85+,0.2359356610435465
BROOKLYN,Brooklyn,75to84,75 to 84,0.3213264454674155
BROOKLYN,Brooklyn,65to74,65 to 74,0.3420660854344734
BROOKLYN,Brooklyn,55to64,55 to 64,0.1808983848670972
BROOKLYN,Brooklyn,45to54,45 to 54,0.146726434322163
BROOKLYN,Brooklyn,35to44,35 to 44,0.1318515249199689
BROOKLYN,Brooklyn,25to34,25 to 34,0.1105073812709955
BROOKLYN,Brooklyn,18to24,18 to 24,0.0501857826994338
BROOKLYN,Brooklyn,%all%,%all%,0.1626423465632262
THE BRONX,Bronx,85andUp,85+,0.2870225560250279
THE BRONX,Bronx,75to84,75 to 84,0.383948069434233
THE BRONX,Bronx,65to74,65 to 74,0.4210112537240157
THE BRONX,Bronx,55to64,55 to 64,0.2525087459807422
THE BRONX,Bronx,45to54,45 to 54,0.1779677516461706
THE BRONX,Bronx,35to44,35 to 44,0.1296779755296191
THE BRONX,Bronx,25to34,25 to 34,0.0814487414039715
THE BRONX,Bronx,18to24,18 to 24,0.0384738797452885
THE BRONX,Bronx,%all%,%all%,0.1805314557507932
%all%,%all%,85andUp,85+,0.3141535056835329
%all%,%all%,75to84,75 to 84,0.4076440057310507
%all%,%all%,65to74,65 to 74,0.4198568437454351
%all%,%all%,55to64,55 to 64,0.2268419874379167
%all%,%all%,45to54,45 to 54,0.173757668368533
%all%,%all%,35to44,35 to 44,0.1486059533505848
%all%,%all%,25to34,25 to 34,0.1206174567752624
%all%,%all%,18to24,18 to 24,0.0614045572688742
%all%,%all%,%all%,%all%,0.1975693190579819
