Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.2139426726992226
STATEN ISLAND,Staten Island,F,Female,0.2449111855400168
QUEENS,Queens,M,Male,0.177490216681012
QUEENS,Queens,F,Female,0.2027483571544466
MANHATTAN,Manhattan,M,Male,0.236833882429707
MANHATTAN,Manhattan,F,Female,0.2707857822230827
BROOKLYN,Brooklyn,M,Male,0.1481149181430571
BROOKLYN,Brooklyn,F,Female,0.1706369197536827
THE BRONX,Bronx,M,Male,0.1697382705759866
THE BRONX,Bronx,F,Female,0.1886918300002876
%all%,%all%,M,Male,0.182071469019664
%all%,%all%,F,Female,0.2072247716286476
