Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.210891711358754
Latino,Latino,STATEN ISLAND,Staten Island,0.1043842125012773
Black,Black,STATEN ISLAND,Staten Island,0.1048579227882973
Asian,Asian,STATEN ISLAND,Staten Island,0.2097167428581778
White,White,QUEENS,Queens,0.1792757686389072
Latino,Latino,QUEENS,Queens,0.1014572490273466
Black,Black,QUEENS,Queens,0.1003377611509957
Asian,Asian,QUEENS,Queens,0.1995970729699269
White,White,MANHATTAN,Manhattan,0.261879840080392
Latino,Latino,MANHATTAN,Manhattan,0.1437296557093491
Black,Black,MANHATTAN,Manhattan,0.1373093016080898
Asian,Asian,MANHATTAN,Manhattan,0.1851038901791615
White,White,BROOKLYN,Brooklyn,0.162746689365361
Latino,Latino,BROOKLYN,Brooklyn,0.0936882590779679
Black,Black,BROOKLYN,Brooklyn,0.0971461391183579
Asian,Asian,BROOKLYN,Brooklyn,0.1694452542876711
White,White,THE BRONX,Bronx,0.2138968560763653
Latino,Latino,THE BRONX,Bronx,0.1019297599909654
Black,Black,THE BRONX,Bronx,0.1125927970476718
Asian,Asian,THE BRONX,Bronx,0.1967295539994825
White,White,%all%,%all%,0.2041024069015119
Latino,Latino,%all%,%all%,0.1078114239724538
Black,Black,%all%,%all%,0.1060395133978042
Asian,Asian,%all%,%all%,0.1897138529915155
