Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,82189,55756,0.2410236458738599
STATEN ISLAND,Staten Island,F,Female,96360,67587,0.2760760253744695
QUEENS,Queens,M,Male,400639,256973,0.232730795347271
QUEENS,Queens,F,Female,465965,307427,0.264074862730874
MANHATTAN,Manhattan,M,Male,360855,231251,0.3028392447249847
MANHATTAN,Manhattan,F,Female,425718,285609,0.3368783778245487
BROOKLYN,Brooklyn,M,Male,367811,223715,0.1845537925447577
BROOKLYN,Brooklyn,F,Female,450313,288225,0.2138629333186912
THE BRONX,Bronx,M,Male,186381,128709,0.1929254560619288
THE BRONX,Bronx,F,Female,235086,166140,0.2203808059686754
%all%,%all%,M,Male,1397875,896404,0.2253153606120983
%all%,%all%,F,Female,1673442,1114988,0.255826516391912
