Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2377481132640796
Latino,Latino,STATEN ISLAND,Staten Island,0.1256797310408628
Black,Black,STATEN ISLAND,Staten Island,0.1258476757458428
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.2843855638275007
White,White,QUEENS,Queens,0.2300460312846446
Latino,Latino,QUEENS,Queens,0.1454871901239777
Black,Black,QUEENS,Queens,0.1308415763928494
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.2860148916167588
White,White,MANHATTAN,Manhattan,0.3294853417745514
Latino,Latino,MANHATTAN,Manhattan,0.1873022450517507
Black,Black,MANHATTAN,Manhattan,0.1758228535964059
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.284739118878509
White,White,BROOKLYN,Brooklyn,0.1948159291508901
Latino,Latino,BROOKLYN,Brooklyn,0.1283764645560382
Black,Black,BROOKLYN,Brooklyn,0.1258358247022847
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.2520075645093228
White,White,THE BRONX,Bronx,0.2468076004905938
Latino,Latino,THE BRONX,Bronx,0.1258223372099016
Black,Black,THE BRONX,Bronx,0.1331412045911884
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2451506893524321
White,White,%all%,%all%,0.2476465113781779
Latino,Latino,%all%,%all%,0.1418523760206966
Black,Black,%all%,%all%,0.1340774259412613
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.2749995541656331
