Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2849527386355369
Latino,Latino,STATEN ISLAND,Staten Island,0.1723695041226717
Black,Black,STATEN ISLAND,Staten Island,0.1608000116353191
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3419532939009746
White,White,QUEENS,Queens,0.2666995168351836
Latino,Latino,QUEENS,Queens,0.1860734750753873
Black,Black,QUEENS,Queens,0.1578249225957503
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3386605850596129
White,White,MANHATTAN,Manhattan,0.3636403060542686
Latino,Latino,MANHATTAN,Manhattan,0.2269663069485913
Black,Black,MANHATTAN,Manhattan,0.2060836849737044
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3094976231162318
White,White,BROOKLYN,Brooklyn,0.2468405442112494
Latino,Latino,BROOKLYN,Brooklyn,0.167044643674791
Black,Black,BROOKLYN,Brooklyn,0.154841078820156
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3065972257716552
White,White,THE BRONX,Bronx,0.2873751439053078
Latino,Latino,THE BRONX,Bronx,0.1679900636205652
Black,Black,THE BRONX,Bronx,0.1691903638799987
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3032331200349933
White,White,%all%,%all%,0.2927584046605549
Latino,Latino,%all%,%all%,0.1833869322852112
Black,Black,%all%,%all%,0.1646809976535292
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3239547834433692
