Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4419740339317243
Latino,Latino,STATEN ISLAND,Staten Island,0.3953509938672169
Black,Black,STATEN ISLAND,Staten Island,0.3328241677599023
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.7340259017503294
White,White,QUEENS,Queens,0.4648804401637408
Latino,Latino,QUEENS,Queens,0.4834459509870116
Black,Black,QUEENS,Queens,0.3149841342999411
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.7332900313229131
White,White,MANHATTAN,Manhattan,0.6156743000686274
Latino,Latino,MANHATTAN,Manhattan,0.466778618707437
Black,Black,MANHATTAN,Manhattan,0.3992182934136498
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.7244677980844834
White,White,BROOKLYN,Brooklyn,0.4618561232227646
Latino,Latino,BROOKLYN,Brooklyn,0.4061448305352781
Black,Black,BROOKLYN,Brooklyn,0.3166300275467833
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.754042286500835
White,White,THE BRONX,Bronx,0.4635577271210394
Latino,Latino,THE BRONX,Bronx,0.3587709574579571
Black,Black,THE BRONX,Bronx,0.321742361313942
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5828337214045232
White,White,%all%,%all%,0.507590090177202
Latino,Latino,%all%,%all%,0.4218470717503179
Black,Black,%all%,%all%,0.3272413289339244
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.7301762170530014
