Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2984376143459725
Latino,Latino,STATEN ISLAND,Staten Island,0.1862938158563599
Black,Black,STATEN ISLAND,Staten Island,0.1750013827795604
Asian,Asian,STATEN ISLAND,Staten Island,0.3739365286649665
White,White,QUEENS,Queens,0.2673962876341361
Latino,Latino,QUEENS,Queens,0.186046482929076
Black,Black,QUEENS,Queens,0.1605967006715159
Asian,Asian,QUEENS,Queens,0.3447554392004009
White,White,MANHATTAN,Manhattan,0.3707198054465095
Latino,Latino,MANHATTAN,Manhattan,0.2261533838578833
Black,Black,MANHATTAN,Manhattan,0.2128545613304689
Asian,Asian,MANHATTAN,Manhattan,0.3182825907572543
White,White,BROOKLYN,Brooklyn,0.2527380673768431
Latino,Latino,BROOKLYN,Brooklyn,0.1667208171958508
Black,Black,BROOKLYN,Brooklyn,0.1620568742026684
Asian,Asian,BROOKLYN,Brooklyn,0.3210421861698872
White,White,THE BRONX,Bronx,0.2845426264902639
Latino,Latino,THE BRONX,Bronx,0.1607224625659481
Black,Black,THE BRONX,Bronx,0.168313664510779
Asian,Asian,THE BRONX,Bronx,0.3051999989817005
White,White,%all%,%all%,0.2982716999422376
Latino,Latino,%all%,%all%,0.1812975572285919
Black,Black,%all%,%all%,0.1692300025415661
Asian,Asian,%all%,%all%,0.3334837947010845
