Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.479955569019489
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6298430010114782
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6430270687327204
STATEN ISLAND,Staten Island,55to64,55 to 64,0.453757749886587
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3135167986037524
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2466961841349241
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1816004573618257
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1167068267699783
STATEN ISLAND,Staten Island,%all%,%all%,0.3488642642662545
QUEENS,Queens,85andUp,85+,0.4094512317856609
QUEENS,Queens,75to84,75 to 84,0.5142243861998664
QUEENS,Queens,65to74,65 to 74,0.5654556432372192
QUEENS,Queens,55to64,55 to 64,0.4084086597749556
QUEENS,Queens,45to54,45 to 54,0.2995198773102536
QUEENS,Queens,35to44,35 to 44,0.2531583401484416
QUEENS,Queens,25to34,25 to 34,0.1980672256509459
QUEENS,Queens,18to24,18 to 24,0.1198390264925028
QUEENS,Queens,%all%,%all%,0.3188297031827283
MANHATTAN,Manhattan,85andUp,85+,0.528227764859612
MANHATTAN,Manhattan,75to84,75 to 84,0.6608041889799494
MANHATTAN,Manhattan,65to74,65 to 74,0.674697788611448
MANHATTAN,Manhattan,55to64,55 to 64,0.5039760986565158
MANHATTAN,Manhattan,45to54,45 to 54,0.3713777038783775
MANHATTAN,Manhattan,35to44,35 to 44,0.3051778124846585
MANHATTAN,Manhattan,25to34,25 to 34,0.265085064245417
MANHATTAN,Manhattan,18to24,18 to 24,0.1872108802636213
MANHATTAN,Manhattan,%all%,%all%,0.385750840533975
BROOKLYN,Brooklyn,85andUp,85+,0.3319733228717144
BROOKLYN,Brooklyn,75to84,75 to 84,0.4530521933977742
BROOKLYN,Brooklyn,65to74,65 to 74,0.496259090671271
BROOKLYN,Brooklyn,55to64,55 to 64,0.3486867202127846
BROOKLYN,Brooklyn,45to54,45 to 54,0.2670652681757548
BROOKLYN,Brooklyn,35to44,35 to 44,0.2265284117255982
BROOKLYN,Brooklyn,25to34,25 to 34,0.1923747077382611
BROOKLYN,Brooklyn,18to24,18 to 24,0.0968590417775266
BROOKLYN,Brooklyn,%all%,%all%,0.2719332836772989
THE BRONX,Bronx,85andUp,85+,0.367461040819889
THE BRONX,Bronx,75to84,75 to 84,0.5060921644074396
THE BRONX,Bronx,65to74,65 to 74,0.5712192004627388
THE BRONX,Bronx,55to64,55 to 64,0.4158672440953553
THE BRONX,Bronx,45to54,45 to 54,0.2794763487408173
THE BRONX,Bronx,35to44,35 to 44,0.1982141556509451
THE BRONX,Bronx,25to34,25 to 34,0.1222370159396436
THE BRONX,Bronx,18to24,18 to 24,0.071278152657453
THE BRONX,Bronx,%all%,%all%,0.2696071011315253
%all%,%all%,85andUp,85+,0.4114721300115124
%all%,%all%,75to84,75 to 84,0.535616967996899
%all%,%all%,65to74,65 to 74,0.5735599162487218
%all%,%all%,55to64,55 to 64,0.4129451568863277
%all%,%all%,45to54,45 to 54,0.3011797639693917
%all%,%all%,35to44,35 to 44,0.2463897630938706
%all%,%all%,25to34,25 to 34,0.2001888523211244
%all%,%all%,18to24,18 to 24,0.1171099996315362
%all%,%all%,%all%,%all%,0.3124933461942759
