Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.329185681956002
STATEN ISLAND,Staten Island,F,Female,0.3638516138869235
QUEENS,Queens,M,Male,0.2949154640419151
QUEENS,Queens,F,Female,0.3300937768976792
MANHATTAN,Manhattan,M,Male,0.3635265596280531
MANHATTAN,Manhattan,F,Female,0.3974506917335861
BROOKLYN,Brooklyn,M,Male,0.2509046954666697
BROOKLYN,Brooklyn,F,Female,0.2814404431032866
THE BRONX,Bronx,M,Male,0.2550070810527451
THE BRONX,Bronx,F,Female,0.2802666764835948
%all%,%all%,M,Male,0.2919226365292629
%all%,%all%,F,Female,0.3230433071115018
