Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,99051,85082,0.4768092644225496
STATEN ISLAND,Staten Island,F,Female,113100,98312,0.5048690208385258
QUEENS,Queens,M,Male,551538,456569,0.5223681018212306
QUEENS,Queens,F,Female,618352,517769,0.5478327860866742
MANHATTAN,Manhattan,M,Male,442510,386112,0.5952055456940089
MANHATTAN,Manhattan,F,Female,508358,446533,0.6074868378546118
BROOKLYN,Brooklyn,M,Male,490457,406696,0.4429864815607236
BROOKLYN,Brooklyn,F,Female,578738,486801,0.4563351068951238
THE BRONX,Bronx,M,Male,249221,204521,0.4181174899306413
THE BRONX,Bronx,F,Female,303915,252318,0.4330693502825487
%all%,%all%,M,Male,1832777,1538980,0.4951026754775716
%all%,%all%,F,Female,2122463,1801733,0.5112330340957362
