Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3619677747972266
Latino,Latino,STATEN ISLAND,Staten Island,0.2799702159344751
Black,Black,STATEN ISLAND,Staten Island,0.2520534455361339
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5958926861676144
White,White,QUEENS,Queens,0.395311275922731
Latino,Latino,QUEENS,Queens,0.3664565134769059
Black,Black,QUEENS,Queens,0.2558467721299999
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6091297916894128
White,White,MANHATTAN,Manhattan,0.553924474900813
Latino,Latino,MANHATTAN,Manhattan,0.3785396172510268
Black,Black,MANHATTAN,Manhattan,0.3351774784950745
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6518230715785244
White,White,BROOKLYN,Brooklyn,0.3598284441838031
Latino,Latino,BROOKLYN,Brooklyn,0.3033478815495401
Black,Black,BROOKLYN,Brooklyn,0.2524762498258014
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6065017270212402
White,White,THE BRONX,Bronx,0.3951984434853183
Latino,Latino,THE BRONX,Bronx,0.2644938277197355
Black,Black,THE BRONX,Bronx,0.2493990622523093
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4691557939663252
White,White,%all%,%all%,0.4245466775243328
Latino,Latino,%all%,%all%,0.3188604508188267
Black,Black,%all%,%all%,0.2615809202080349
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.608346667833942
