Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4396725806004203
Latino,Latino,STATEN ISLAND,Staten Island,0.3912763680833956
Black,Black,STATEN ISLAND,Staten Island,0.3295492184394273
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.7302193715770348
White,White,QUEENS,Queens,0.4629706165882988
Latino,Latino,QUEENS,Queens,0.4761892162671652
Black,Black,QUEENS,Queens,0.3121942004725875
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.7276518606795276
White,White,MANHATTAN,Manhattan,0.6138648011568048
Latino,Latino,MANHATTAN,Manhattan,0.4620102787873142
Black,Black,MANHATTAN,Manhattan,0.396272872399036
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.7200089574055512
White,White,BROOKLYN,Brooklyn,0.4600383371424352
Latino,Latino,BROOKLYN,Brooklyn,0.3998869530234528
Black,Black,BROOKLYN,Brooklyn,0.3136464623691413
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7482093485624068
White,White,THE BRONX,Bronx,0.4631955363696074
Latino,Latino,THE BRONX,Bronx,0.3547933846312886
Black,Black,THE BRONX,Bronx,0.3191469527496691
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5798687559630996
White,White,%all%,%all%,0.5057752297802258
Latino,Latino,%all%,%all%,0.4164057053276081
Black,Black,%all%,%all%,0.3243841766733341
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.724893416325633
