Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,96382,81554,0.5401357575465336
STATEN ISLAND,Staten Island,F,Female,110337,94784,0.566621909352474
QUEENS,Queens,M,Male,531893,425466,0.6085475290306608
QUEENS,Queens,F,Female,598521,487143,0.633273577524692
MANHATTAN,Manhattan,M,Male,431476,368355,0.66513578452332
MANHATTAN,Manhattan,F,Female,496977,429159,0.6761134926566936
BROOKLYN,Brooklyn,M,Male,473230,381047,0.5154574735649754
BROOKLYN,Brooklyn,F,Female,561039,460500,0.5259270051567958
THE BRONX,Bronx,M,Male,238740,191320,0.4880739363979312
THE BRONX,Bronx,F,Female,292218,238389,0.5015522451860978
%all%,%all%,M,Male,1771721,1447742,0.5699773923636424
%all%,%all%,F,Female,2059092,1709975,0.5842574069755384
