Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.291084190287416
Latino,Latino,STATEN ISLAND,Staten Island,0.178577693801171
Black,Black,STATEN ISLAND,Staten Island,0.1673201380097192
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3549101369908431
White,White,QUEENS,Queens,0.272275781934029
Latino,Latino,QUEENS,Queens,0.1926346429479809
Black,Black,QUEENS,Queens,0.1617344611043629
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3479597214940555
White,White,MANHATTAN,Manhattan,0.3692405070660412
Latino,Latino,MANHATTAN,Manhattan,0.2315981485885578
Black,Black,MANHATTAN,Manhattan,0.2102803112567211
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3184153044740962
White,White,BROOKLYN,Brooklyn,0.2511944571758997
Latino,Latino,BROOKLYN,Brooklyn,0.1717387437455807
Black,Black,BROOKLYN,Brooklyn,0.1581901472706688
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3153818651903351
White,White,THE BRONX,Bronx,0.2928915876578852
Latino,Latino,THE BRONX,Bronx,0.1718403133733967
Black,Black,THE BRONX,Bronx,0.17283276593557
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3093592618661698
White,White,%all%,%all%,0.2979963944675168
Latino,Latino,%all%,%all%,0.18834200228304
Black,Black,%all%,%all%,0.1683923358826554
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3330611291168296
