Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3255972166899902
Latino,Latino,STATEN ISLAND,Staten Island,0.2308152259753154
Black,Black,STATEN ISLAND,Staten Island,0.2086569235245406
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5129843484377749
White,White,QUEENS,Queens,0.3515689188106958
Latino,Latino,QUEENS,Queens,0.2941077191117558
Black,Black,QUEENS,Queens,0.2164866710692905
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5155646505430624
White,White,MANHATTAN,Manhattan,0.500712152778834
Latino,Latino,MANHATTAN,Manhattan,0.3246516673597732
Black,Black,MANHATTAN,Manhattan,0.2871084597962421
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5608913056697948
White,White,BROOKLYN,Brooklyn,0.3208884186012911
Latino,Latino,BROOKLYN,Brooklyn,0.2482948401729246
Black,Black,BROOKLYN,Brooklyn,0.2128365320144197
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.500464185799353
White,White,THE BRONX,Bronx,0.3496154518029666
Latino,Latino,THE BRONX,Bronx,0.2181909194676163
Black,Black,THE BRONX,Bronx,0.2114412772370906
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3959143931127575
White,White,%all%,%all%,0.3804817791061516
Latino,Latino,%all%,%all%,0.2625708143704175
Black,Black,%all%,%all%,0.2213683723946353
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.513376652221633
