Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3869377784705609
Latino,Latino,STATEN ISLAND,Staten Island,0.308660924041352
Black,Black,STATEN ISLAND,Staten Island,0.2601202928453588
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6103624727871398
White,White,QUEENS,Queens,0.3993210238454365
Latino,Latino,QUEENS,Queens,0.3572908880848228
Black,Black,QUEENS,Queens,0.252398232617561
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5875657838289184
White,White,MANHATTAN,Manhattan,0.5446694453640692
Latino,Latino,MANHATTAN,Manhattan,0.3789738250256344
Black,Black,MANHATTAN,Manhattan,0.3267920669201605
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5967948550798094
White,White,BROOKLYN,Brooklyn,0.3984049703358509
Latino,Latino,BROOKLYN,Brooklyn,0.3062208359269509
Black,Black,BROOKLYN,Brooklyn,0.2517755237352222
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5861946039182498
White,White,THE BRONX,Bronx,0.3998864504077898
Latino,Latino,THE BRONX,Bronx,0.2753437865569876
Black,Black,THE BRONX,Bronx,0.2581595818815369
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.468944166507492
White,White,%all%,%all%,0.442240744311522
Latino,Latino,%all%,%all%,0.3229671641901929
Black,Black,%all%,%all%,0.2621284051325309
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5844363623884292
