Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4182729507506223
Latino,Latino,STATEN ISLAND,Staten Island,0.3460544386164983
Black,Black,STATEN ISLAND,Staten Island,0.2962042799036826
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6789776192442214
White,White,QUEENS,Queens,0.4367913426541632
Latino,Latino,QUEENS,Queens,0.4079966730900788
Black,Black,QUEENS,Queens,0.283735059858422
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.667382528328247
White,White,MANHATTAN,Manhattan,0.5901666759109704
Latino,Latino,MANHATTAN,Manhattan,0.4120913410866397
Black,Black,MANHATTAN,Manhattan,0.3657710023391643
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6722530078566902
White,White,BROOKLYN,Brooklyn,0.4366004120931198
Latino,Latino,BROOKLYN,Brooklyn,0.3488303115105644
Black,Black,BROOKLYN,Brooklyn,0.2830334959400089
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6768752578818428
White,White,THE BRONX,Bronx,0.438269383117221
Latino,Latino,THE BRONX,Bronx,0.3082236971446599
Black,Black,THE BRONX,Bronx,0.2886327689490565
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.5334975685078958
White,White,%all%,%all%,0.4818110783518038
Latino,Latino,%all%,%all%,0.3626784482301058
Black,Black,%all%,%all%,0.2942323067799542
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6650649119571248
