Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5958,5393,0.6016358679188126
STATEN ISLAND,Staten Island,75to84,75 to 84,17165,15737,0.7548704868287964
STATEN ISLAND,Staten Island,65to74,65 to 74,36922,33794,0.791315716153368
STATEN ISLAND,Staten Island,55to64,55 to 64,45242,39838,0.6841373053077272
STATEN ISLAND,Staten Island,45to54,45 to 54,35961,30646,0.5603845914105842
STATEN ISLAND,Staten Island,35to44,35 to 44,28721,23822,0.4853651941731166
STATEN ISLAND,Staten Island,25to34,25 to 34,24726,20230,0.3820516386223521
STATEN ISLAND,Staten Island,18to24,18 to 24,14942,11165,0.3766378845781891
STATEN ISLAND,Staten Island,%all%,%all%,209637,180625,0.5617763779850582
QUEENS,Queens,85andUp,85+,28909,25504,0.5599785059935506
QUEENS,Queens,75to84,75 to 84,75274,67627,0.6858937244712184
QUEENS,Queens,65to74,65 to 74,161646,144863,0.7744430663564796
QUEENS,Queens,55to64,55 to 64,222701,189819,0.7379495252820862
QUEENS,Queens,45to54,45 to 54,204868,167133,0.6796180955021878
QUEENS,Queens,35to44,35 to 44,195542,155017,0.6336233075544506
QUEENS,Queens,25to34,25 to 34,191441,149707,0.528115819800314
QUEENS,Queens,18to24,18 to 24,84140,59718,0.4815538320396954
QUEENS,Queens,%all%,%all%,1164521,959388,0.640142421543467
MANHATTAN,Manhattan,85andUp,85+,25254,23130,0.6341143686725598
MANHATTAN,Manhattan,75to84,75 to 84,65355,61041,0.7631535213073792
MANHATTAN,Manhattan,65to74,65 to 74,118615,110343,0.8024996560155118
MANHATTAN,Manhattan,55to64,55 to 64,139499,124042,0.7671358152270752
MANHATTAN,Manhattan,45to54,45 to 54,135006,116928,0.698907389247041
MANHATTAN,Manhattan,35to44,35 to 44,152952,130519,0.6594272342325844
MANHATTAN,Manhattan,25to34,25 to 34,226273,190762,0.6293447847190504
MANHATTAN,Manhattan,18to24,18 to 24,84337,66020,0.5857250337139422
MANHATTAN,Manhattan,%all%,%all%,947291,822785,0.6845808407151016
BROOKLYN,Brooklyn,85andUp,85+,23266,20073,0.4563750490388388
BROOKLYN,Brooklyn,75to84,75 to 84,64586,56856,0.6055259185644238
BROOKLYN,Brooklyn,65to74,65 to 74,141300,124855,0.672079450921077
BROOKLYN,Brooklyn,55to64,55 to 64,174455,146820,0.6105482352529442
BROOKLYN,Brooklyn,45to54,45 to 54,166856,136583,0.5649126846014776
BROOKLYN,Brooklyn,35to44,35 to 44,190210,155875,0.531333627572028
BROOKLYN,Brooklyn,25to34,25 to 34,227571,186845,0.48415138253897
BROOKLYN,Brooklyn,18to24,18 to 24,75032,53745,0.3610296881595317
BROOKLYN,Brooklyn,%all%,%all%,1063276,881652,0.5356986536863098
THE BRONX,Bronx,85andUp,85+,13431,11843,0.504845462280271
THE BRONX,Bronx,75to84,75 to 84,38393,34472,0.663198732612971
THE BRONX,Bronx,65to74,65 to 74,81554,72727,0.7740464355067492
THE BRONX,Bronx,55to64,55 to 64,117848,100198,0.7210829382654478
THE BRONX,Bronx,45to54,45 to 54,101818,82634,0.585376208596666
THE BRONX,Bronx,35to44,35 to 44,83598,64982,0.46653265904915
THE BRONX,Bronx,25to34,25 to 34,69365,52307,0.3057027188727061
THE BRONX,Bronx,18to24,18 to 24,37746,25423,0.2726178083096788
THE BRONX,Bronx,%all%,%all%,543753,444586,0.5073390252616998
%all%,%all%,85andUp,85+,96818,85943,0.5410700913165454
%all%,%all%,75to84,75 to 84,260773,235733,0.6814484458252078
%all%,%all%,65to74,65 to 74,540037,486582,0.7513087876237314
%all%,%all%,55to64,55 to 64,699745,600717,0.7004984443805552
%all%,%all%,45to54,45 to 54,644509,533924,0.6269012252854088
%all%,%all%,35to44,35 to 44,651023,530215,0.5726269366156922
%all%,%all%,25to34,25 to 34,739376,599851,0.4983328828825794
%all%,%all%,18to24,18 to 24,296197,216071,0.420333849072538
%all%,%all%,%all%,%all%,3928478,3289036,0.5922898767295162
