Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3168708306148966
Latino,Latino,STATEN ISLAND,Staten Island,0.2113351184096861
Black,Black,STATEN ISLAND,Staten Island,0.1894111597896501
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4241353043090296
White,White,QUEENS,Queens,0.3088079786128408
Latino,Latino,QUEENS,Queens,0.2312001910699917
Black,Black,QUEENS,Queens,0.1836302975194721
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4024026743470204
White,White,MANHATTAN,Manhattan,0.4173954850008669
Latino,Latino,MANHATTAN,Manhattan,0.2666357404570935
Black,Black,MANHATTAN,Manhattan,0.238046292284726
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3828036126941229
White,White,BROOKLYN,Brooklyn,0.2897641490085305
Latino,Latino,BROOKLYN,Brooklyn,0.202214413485832
Black,Black,BROOKLYN,Brooklyn,0.1788601015889452
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3754924437437355
White,White,THE BRONX,Bronx,0.328228403278351
Latino,Latino,THE BRONX,Bronx,0.1976970832082189
Black,Black,THE BRONX,Bronx,0.1962671292905051
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3484924454496634
White,White,%all%,%all%,0.3375775071887013
Latino,Latino,%all%,%all%,0.2203646492738766
Black,Black,%all%,%all%,0.1907932080389821
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3906029747627585
